<doc id="bv_doc_id__32" document_title="Ministerialentwurf 1920" created_not_before="1920-02-07" created_not_after="1920-02-07" creation_year="1920" state_of_correction="text_correct" document_type="Typoskript" text_type="Verfassungsentwurf" dataset="Gesetzestexte & Entwürfe" attrs="word lemma type">
<p>
Staatssekretär	Staatssekretär	Nom				Masc		Sing						
Dr.	Dr.	Nom				Masc		Sing						
M.	M.	Nom				Masc		Sing						
Mayr	Mayr	Nom				Masc		Sing						
</p>
<p>
Wien	Wien	Nom				Neut		Sing						
<g/>
,
am	an	Dat				Masc		Sing						
7.	7.	Dat		Pos		Masc		Sing						
Februar	Februar	Dat				Masc		Sing						
1920.	1920.													
</p>
<p>
Euer	euer	Nom						Plur	2		Prs			
Hochwohlgeboren	Hochwohlgeboren													
<g/>
!
</p>
<p>
Mit	mit													
Zustimmung	Zustimmung	Dat				Fem		Sing						
des	der	Gen	Def			Masc		Sing			Art			
Herrn	Herr	Gen				Masc		Sing						
Staatskanzlers	Staatskanzler	Gen				Masc		Sing						
erlaube	erlauben						Ind	Sing	1				Pres	Fin
ich	ich	Nom						Sing	1		Prs			
mir	sich	Dat						Sing	1		Prs			
hiemit	Hiemit	Dat						Sing						
einen	ein	Acc	Ind			Masc		Sing			Art			
Vorentwurf	Vorentwurf	Acc				Masc		Sing						
einer	ein	Gen	Ind			Fem		Sing			Art			
Verfassungsurkunde	Verfassungsurkunde	Gen				Fem		Sing						
zum	zu	Dat				Masc		Sing						
ausschliesslich	ausschliesslich			Pos										
persönlichen	persönlich	Dat		Pos		Masc		Sing						
Gebrauche	Gebrauch	Dat				Masc		Sing						
mit	mit													
der	der	Dat	Def			Fem		Sing			Art			
Bitte	Bitte	Dat				Fem		Sing						
um	um													
grösste	grösste	Acc		Sup		Fem		Sing						
Diskretion	Diskretion	Acc				Fem		Sing						
zu	zu													
übersenden	übersenden													Inf
<g/>
.
</p>
<p>
Dieser	dieser	Nom				Masc		Sing			Dem			
Vorentwurf	Vorentwurf	Nom				Masc		Sing						
stellt	stellen						Ind	Sing	3				Pres	Fin
nichts	nichts					Neut					Ind			
anderes	anderer	Acc				Neut		Sing			Ind			
als	als													
ein	ein	Acc	Ind			Neut		Sing			Art			
auf	auf													
Grund	Grund	Acc				Masc		Sing						
der	der	Gen	Def			Fem		Plur			Art			
Koalitionsvereinbarungen	Koalitionsvereinbarung	Gen				Fem		Plur						
abgefasstes	abgefasst	Acc		Pos		Neut		Sing						
Beratungsmaterial	Beratungsmaterial	Acc				Neut		Sing						
für	für													
einen	ein	Acc	Ind			Masc		Sing			Art			
definitiven	definitiv	Acc		Pos		Masc		Sing						
Entwurf	Entwurf	Acc				Masc		Sing						
dar	dar													
<g/>
,
wobei	wobei										Int			
allerdings	allerdings													
auf	auf													
die	der	Acc	Def			Masc		Plur			Art			
bisher	bisher													
kundgegebenen	kundgegeben	Acc		Pos		Masc		Plur						
Wünsche	Wunsch	Acc				Masc		Plur						
der	der	Gen	Def			Neut		Plur			Art			
Länder	Land	Gen				Neut		Plur						
einigermassen	einigermassen													
Bedacht	Bedacht	Nom				Fem		Sing						
genomen	genomen													Part
wurde	werden						Ind	Sing	3				Past	Fin
<g/>
.
</p>
<p>
Genehmigen	Genehmigen						Ind	Plur	3				Pres	Fin
Sie	sie	Nom						Plur	3		Prs			
den	der	Acc	Def			Masc		Sing			Art			
Ausdruck	Ausdruck	Acc				Masc		Sing						
vorzüglichster	vorzüglich	Gen		Sup		Fem		Sing						
Hochschätzung	Hochschätzung	Gen				Fem		Sing						
<g/>
,
in	in													
der	der	Dat				Fem		Sing			Rel			
ich	ich	Nom						Sing	1		Prs			
verharre	verharren						Ind	Sing	1				Pres	Fin
als	als													
Ihr	ihr	Nom				Masc		Sing		Yes	Prs			
ergebenster	ergebenste	Nom		Sup		Masc		Sing						
</p>
<p>
M.	M.	Nom				Masc		Sing						
Mayr	Mayr	Nom				Masc		Sing						
</p>
<head>
Erster	Erster	Nom		Pos		Masc		Sing						
Abschnitt	Abschnitt	Nom				Masc		Sing						
<g/>
.
</head>
<head>
Allgemeine	Allgemeine	Nom		Pos		Fem		Plur						
Bestimmungen	Bestimmung	Nom				Fem		Plur						
<g/>
.
</head>
<head>
Artikel	Artikel	Nom				Masc		Sing						
1	1													
</head>
<p>
Die	der	Nom	Def			Fem		Sing			Art			
Republik	Republik	Nom				Fem		Sing						
Oesterreich	Oesterreich	Nom				Neut		Sing						
ist	sein						Ind	Sing	3				Pres	Fin
ein	ein	Nom	Ind			Masc		Sing			Art			
freier	frei	Nom		Pos		Masc		Sing						
Bundesstaat	Bundesstaat	Nom				Masc		Sing						
<g/>
,
und	und													
wird	werden						Ind	Sing	3				Pres	Fin
gebildet	bilden													Part
von	von													
den	der	Dat	Def			Neut		Plur			Art			
Ländern	Land	Dat				Neut		Plur						
<g/>
:
Burgenland	Burgenland	Dat				Neut		Sing						
<g/>
,
Kärnten	Kärnten	Nom				Neut		Sing						
<g/>
,
Niederösterreich	Niederösterreich	Dat				Neut		Sing						
<g/>
,
Oberösterreich	Oberösterreich	Dat				Neut		Sing						
<g/>
,
Salzburg	Salzburg	Dat				Neut		Sing						
<g/>
,
Steiermark	Steiermark	Dat				Fem		Sing						
<g/>
,
Tirol	Tirol	Dat				Neut		Sing						
<g/>
,
Vorarlberg	Vorarlberg	Dat				Neut		Sing						
und	und													
der	der	Dat	Def			Fem		Sing			Art			
Bundeshauptstadt	Bundeshauptstadt	Dat				Fem		Sing						
Wien	Wien	Nom				Neut		Sing						
<g/>
,
welche	welcher	Nom				Fem		Sing			Rel			
die	der	Acc	Def			Fem		Sing			Art			
Stellung	Stellung	Acc				Fem		Sing						
eines	ein	Gen	Ind			Neut		Sing			Art			
Landes	Land	Gen				Neut		Sing						
hat	haben						Ind	Sing	3				Pres	Fin
<g/>
.
</p>
<p>
samt	samt													
Gebiet	Gebiet	Dat				Neut		Sing						
</p>
<head>
Artikel	Artikel	Nom				Masc		Sing						
2	2													
</head>
<p>
<g/>
(
1)Oesterreich	1)Oesterreich	Nom				Neut		Sing						
ist	sein						Ind	Sing	3				Pres	Fin
eine	ein	Nom	Ind			Fem		Sing			Art			
demokratische	demokratisch	Nom		Pos		Fem		Sing						
Republik	Republik	Nom				Fem		Sing						
<g/>
.
</p>
<p>
<g/>
(
<g/>
2)Alle
öffentliche	öffentlich	Nom		Pos		Fem		Sing						
Gewalt	Gewalt	Nom				Fem		Sing						
geht	gehen						Ind	Sing	3				Pres	Fin
vom	von	Dat				Neut		Sing						
Volke	Volk	Dat				Neut		Sing						
aus	aus													
<g/>
.
</p>
<head>
Artikel	Artikel	Nom				Masc		Sing						
3	3													
</head>
<p>
<g/>
(
<g/>
1)Das
Bundesgebiet	Bundesgebiet	Nom				Neut		Sing						
umfasst	umfassen						Ind	Sing	3				Pres	Fin
die	der	Acc	Def			Neut		Plur			Art			
Gebiete	Gebiet	Acc				Neut		Plur						
der	der	Gen	Def			Neut		Plur			Art			
in	in													
Artikel	Artikel	Dat				Masc		Sing						
1	1													
bezeichneten	bezeichnet	Gen		Pos		Neut		Plur						
Länder	Land	Gen				Neut		Plur						
<g/>
.
