<doc id="bv_doc_id__19" attrs="word lemma type">
Entwurf	bv_doc_id__19_d9e308
einer	bv_doc_id__19_d9e310
österreichischen	bv_doc_id__19_d9e312
Verfassung	bv_doc_id__19_d9e314
beschlossen	bv_doc_id__19_d9e321
von	bv_doc_id__19_d9e323
den	bv_doc_id__19_d9e325
am	bv_doc_id__19_d9e327
18.	bv_doc_id__19_d9e329
und	bv_doc_id__19_d9e332
19.	bv_doc_id__19_d9e334
April	bv_doc_id__19_d9e336
1920	bv_doc_id__19_d9e338
in	bv_doc_id__19_d9e340
Linz	bv_doc_id__19_d9e342
versammelten	bv_doc_id__19_d9e345
Vertretern	bv_doc_id__19_d9e347
der	bv_doc_id__19_d9e349
nationalen	bv_doc_id__19_d9e351
Partei-	bv_doc_id__19_d9e353
und	bv_doc_id__19_d9e355
Landes-Organisationen	bv_doc_id__19_d9e358
<g/>
.	
Unter	bv_doc_id__19_d9e368
dem	bv_doc_id__19_d9e370
Zwange	bv_doc_id__19_d9e372
des	bv_doc_id__19_d9e374
Vertrages	bv_doc_id__19_d9e376
von	bv_doc_id__19_d9e379
St	bv_doc_id__19_d9e381
<g/>
.	
Germain	bv_doc_id__19_d9e385
<g/>
,	
der	bv_doc_id__19_d9e389
den	bv_doc_id__19_d9e392
Anschluß	bv_doc_id__19_d9e394
an	bv_doc_id__19_d9e396
das	bv_doc_id__19_d9e398
Deutsche	bv_doc_id__19_d9e400
Reich	bv_doc_id__19_d9e402
derzeit	bv_doc_id__19_d9e405
verwehrt	bv_doc_id__19_d9e407
<g/>
,	
in	bv_doc_id__19_d9e411
dem	bv_doc_id__19_d9e413
Bestreben	bv_doc_id__19_d9e415
<g/>
,	
dem	bv_doc_id__19_d9e420
bedrängten	bv_doc_id__19_d9e422
Volke	bv_doc_id__19_d9e424
des	bv_doc_id__19_d9e426
deutschen	bv_doc_id__19_d9e428
Alpenlandes	bv_doc_id__19_d9e431
den	bv_doc_id__19_d9e433
Aufstieg	bv_doc_id__19_d9e435
zu	bv_doc_id__19_d9e437
ermöglichen	bv_doc_id__19_d9e439
<g/>
,	
schließen	bv_doc_id__19_d9e444
sich	bv_doc_id__19_d9e446
die	bv_doc_id__19_d9e448
geschichtlich	bv_doc_id__19_d9e450
gewordenen	bv_doc_id__19_d9e452
selbständigen	bv_doc_id__19_d9e454
Länder	bv_doc_id__19_d9e457
Niederöstereich	bv_doc_id__19_d9e459
<g/>
,	
Oberösterreich	bv_doc_id__19_d9e463
<g/>
,	
Salzburg	bv_doc_id__19_d9e467
<g/>
,	
Steiermark	bv_doc_id__19_d9e472
<g/>
,	
Kärnten	bv_doc_id__19_d9e476
<g/>
,	
Tirol	bv_doc_id__19_d9e480
und	bv_doc_id__19_d9e483
Vorarlberg	bv_doc_id__19_d9e485
zu	bv_doc_id__19_d9e487
einem	bv_doc_id__19_d9e489
Bundesstaat	bv_doc_id__19_d9e491
zusammen	bv_doc_id__19_d9e493
und	bv_doc_id__19_d9e496
geben	bv_doc_id__19_d9e498
sich	bv_doc_id__19_d9e500
nachstehende	bv_doc_id__19_d9e502
Verfassung	bv_doc_id__19_d9e504
<g/>
:	
I	bv_doc_id__19_d9e514
<g/>
.	
Hauptteil	bv_doc_id__19_d9e518
Aufbau	bv_doc_id__19_d9e523
und	bv_doc_id__19_d9e525
Aufgaben	bv_doc_id__19_d9e527
des	bv_doc_id__19_d9e529
Staates	bv_doc_id__19_d9e531
Art.	bv_doc_id__19_d9e538
1.	bv_doc_id__19_d9e540
Demokratische	bv_doc_id__19_d9e545
Republik	bv_doc_id__19_d9e547
<g/>
.	
Österreich	bv_doc_id__19_d9e554
ist	bv_doc_id__19_d9e556
eine	bv_doc_id__19_d9e558
demokratische	bv_doc_id__19_d9e560
