<doc id="bv_doc_id__39" attrs="word lemma type">
Protokoll	bv_doc_id__39_d28e307
der	bv_doc_id__39_d28e309
14	bv_doc_id__39_d28e311
<g/>
,	
sitzung	bv_doc_id__39_d28e315
des	bv_doc_id__39_d28e318
Unterausschüsses	bv_doc_id__39_d28e320
des	bv_doc_id__39_d28e322
Verfassungsausschusses	bv_doc_id__39_d28e324
von	bv_doc_id__39_d28e326
13.I.	bv_doc_id__39_d28e328
1520.	bv_doc_id__39_d28e331
Beginn	bv_doc_id__39_d28e333
10	bv_doc_id__39_d28e335
Uhr	bv_doc_id__39_d28e337
Vormittag	bv_doc_id__39_d28e339
<g/>
.	
Anwesend	bv_doc_id__39_d28e344
<g/>
:	
Dr	bv_doc_id__39_d28e348
<g/>
.	
Otto	bv_doc_id__39_d28e352
Bauer	bv_doc_id__39_d28e354
als	bv_doc_id__39_d28e357
Vorsitzender	bv_doc_id__39_d28e359
Einem	bv_doc_id__39_d28e361
Teile	bv_doc_id__39_d28e363
der	bv_doc_id__39_d28e365
Sitzung	bv_doc_id__39_d28e367
wohnte	bv_doc_id__39_d28e370
Präsident	bv_doc_id__39_d28e372
Karl	bv_doc_id__39_d28e374
seitz	bv_doc_id__39_d28e376
bei	bv_doc_id__39_d28e378
<g/>
.	
Dr	bv_doc_id__39_d28e383
<g/>
.	
Josef	bv_doc_id__39_d28e387
Aigner	bv_doc_id__39_d28e389
Heinrich	bv_doc_id__39_d28e391
Clessin	bv_doc_id__39_d28e393
Dr	bv_doc_id__39_d28e396
<g/>
.	
Aebert	bv_doc_id__39_d28e400
Danneberg	bv_doc_id__39_d28e402
Kerl	bv_doc_id__39_d28e404
Leuthner	bv_doc_id__39_d28e406
Dr	bv_doc_id__39_d28e409
<g/>
.	
Ignaz	bv_doc_id__39_d28e413
Seipel	bv_doc_id__39_d28e415
Dr	bv_doc_id__39_d28e417
<g/>
.	
Richard	bv_doc_id__39_d28e422
Reiskirchner	bv_doc_id__39_d28e424
Staatssekretär	bv_doc_id__39_d28e426
Prof	bv_doc_id__39_d28e428
<g/>
.	
Fr	bv_doc_id__39_d28e432
<g/>
.	
Michael	bv_doc_id__39_d28e437
Mayr	bv_doc_id__39_d28e439
Von	bv_doc_id__39_d28e441
der	bv_doc_id__39_d28e443
Staatskanzlei	bv_doc_id__39_d28e445
<g/>
:	
Ministerialrat	bv_doc_id__39_d28e450
Dr	bv_doc_id__39_d28e452
<g/>
.	
Geerg	bv_doc_id__39_d28e456
Froehlich	bv_doc_id__39_d28e458
Sehtiensrat	bv_doc_id__39_d28e461
Dr	bv_doc_id__39_d28e463
<g/>
.	
Egbert	bv_doc_id__39_d28e467
Mannlicher	bv_doc_id__39_d28e469
Ministerialvizesekretär	bv_doc_id__39_d28e471
Dr	bv_doc_id__39_d28e474
<g/>
.	
Kurt	bv_doc_id__39_d28e478
Frieberger	bv_doc_id__39_d28e480
als	bv_doc_id__39_d28e482
Schriftführer	bv_doc_id__39_d28e484
Prof	bv_doc_id__39_d28e487
<g/>
.	
Dr	bv_doc_id__39_d28e491
<g/>
.	
Hans	bv_doc_id__39_d28e495
Kel	bv_doc_id__39_d28e497
sen	bv_doc_id__39_d28e500
als	bv_doc_id__39_d28e502
Experte	bv_doc_id__39_d28e504
des	bv_doc_id__39_d28e506
Verfassunge	bv_doc_id__39_d28e508
ausschusses	bv_doc_id__39_d28e510
<g/>
.	
2-	bv_doc_id__39_d28e517
