<doc id="bv_doc_id__33" attrs="word lemma type">
Bekanntlich	bv_doc_id__33_d24e235
hat	bv_doc_id__33_d24e237
der	bv_doc_id__33_d24e239
Unterausschuß	bv_doc_id__33_d24e241
des	bv_doc_id__33_d24e243
Verfassungsausschusses	bv_doc_id__33_d24e246
auf	bv_doc_id__33_d24e248
Grundlage	bv_doc_id__33_d24e250
der	bv_doc_id__33_d24e252
verschiedenen	bv_doc_id__33_d24e254
Entwürfe	bv_doc_id__33_d24e256
für	bv_doc_id__33_d24e259
eine	bv_doc_id__33_d24e261
Bundesverfassung	bv_doc_id__33_d24e263
die	bv_doc_id__33_d24e265
Materie	bv_doc_id__33_d24e267
mit	bv_doc_id__33_d24e269
Ausnahme	bv_doc_id__33_d24e272
des	bv_doc_id__33_d24e274
Abschnittes	bv_doc_id__33_d24e276
über	bv_doc_id__33_d24e278
die	bv_doc_id__33_d24e280
Grund-	bv_doc_id__33_d24e282
und	bv_doc_id__33_d24e285
Freiheitsrechte	bv_doc_id__33_d24e287
durchberaten	bv_doc_id__33_d24e289
<g/>
.	
Im	bv_doc_id__33_d24e293
Nachfolgenden	bv_doc_id__33_d24e295
wird	bv_doc_id__33_d24e298
nunmehr	bv_doc_id__33_d24e300
der	bv_doc_id__33_d24e302
Entwurf	bv_doc_id__33_d24e304
<g/>
,	
wie	bv_doc_id__33_d24e308
er	bv_doc_id__33_d24e311
im	bv_doc_id__33_d24e313
Unterausschusse	bv_doc_id__33_d24e315
beschlossen	bv_doc_id__33_d24e317
wurde	bv_doc_id__33_d24e319
<g/>
,	
in	bv_doc_id__33_d24e324
seiner	bv_doc_id__33_d24e326
Gänze	bv_doc_id__33_d24e328
der	bv_doc_id__33_d24e330
Öffentlichkeit	bv_doc_id__33_d24e332
zur	bv_doc_id__33_d24e334
Kenntnis	bv_doc_id__33_d24e337
gebracht	bv_doc_id__33_d24e339
<g/>
.	
Bei	bv_doc_id__33_d24e343
der	bv_doc_id__33_d24e345
durch	bv_doc_id__33_d24e347
die	bv_doc_id__33_d24e350
Verhältnisse	bv_doc_id__33_d24e352
bedingten	bv_doc_id__33_d24e354
raschen	bv_doc_id__33_d24e356
Beratung	bv_doc_id__33_d24e358
war	bv_doc_id__33_d24e360
es	bv_doc_id__33_d24e363
unvermeidlich	bv_doc_id__33_d24e365
<g/>
,	
daß	bv_doc_id__33_d24e369
sich	bv_doc_id__33_d24e371
in	bv_doc_id__33_d24e373
der	bv_doc_id__33_d24e376
Textierung	bv_doc_id__33_d24e378
gewisse	bv_doc_id__33_d24e380
Unstimmigkeiten	bv_doc_id__33_d24e382
ergeben	bv_doc_id__33_d24e384
haben	bv_doc_id__33_d24e386
<g/>
;	
diese	bv_doc_id__33_d24e391
zu	bv_doc_id__33_d24e393
korrigieren	bv_doc_id__33_d24e395
<g/>
,	
wird	bv_doc_id__33_d24e399
der	bv_doc_id__33_d24e402
Vollausschuß	bv_doc_id__33_d24e404
Gelegenheit	bv_doc_id__33_d24e406
haben	bv_doc_id__33_d24e408
<g/>
,	
der	bv_doc_id__33_d24e412
in	bv_doc_id__33_d24e415
naher	bv_doc_id__33_d24e417
Zeit	bv_doc_id__33_d24e419
zusammentreten	bv_doc_id__33_d24e421
wird	bv_doc_id__33_d24e423
<g/>
.	
Entwurf	bv_doc_id__33_d24e430
eines	bv_doc_id__33_d24e432
Gelehes	bv_doc_id__33_d24e434
<g/>
,	
betreffend	bv_doc_id__33_d24e438
die	bv_doc_id__33_d24e441
Verfassuna	bv_doc_id__33_d24e443
der	bv_doc_id__33_d24e445
Republik	bv_doc_id__33_d24e447
Osterreich	bv_doc_id__33_d24e449
<g/>
.	
Erster	bv_doc_id__33_d24e454
Abschnitt	bv_doc_id__33_d24e456
<g/>
.	
Allgemeine	bv_doc_id__33_d24e460
Bestimmungen	bv_doc_id__33_d24e462
<g/>
.	
Artitel	bv_doc_id__33_d24e467
1.	bv_doc_id__33_d24e469
<g/>
(	
1	bv_doc_id__33_d24e473
<g/>
)	
Osterreich	bv_doc_id__33_d24e477
ist	bv_doc_id__33_d24e480
eine	bv_doc_id__33_d24e482
demokratische	bv_doc_id__33_d24e484
Republik	bv_doc_id__33_d24e486
<g/>
.	
<g/>
(	
2	bv_doc_id__33_d24e493
<g/>
)	
aue	bv_doc_id__33_d24e497
öffentlichen	bv_doc_id__33_d24e499
Gewalten	bv_doc_id__33_d24e501
werden	bv_doc_id__33_d24e503
vom	bv_doc_id__33_d24e506
Bolte	bv_doc_id__33_d24e508
eingesetzt	bv_doc_id__33_d24e510
und	bv_doc_id__33_d24e512
in	bv_doc_id__33_d24e514
seinem	bv_doc_id__33_d24e516
Nammen	bv_doc_id__33_d24e519
ausgeübt	bv_doc_id__33_d24e521
<g/>
.	
Artikel	bv_doc_id__33_d24e530
2.	bv_doc_id__33_d24e532
<g/>
(	
1	bv_doc_id__33_d24e541
<g/>
)	
Osterreich	bv_doc_id__33_d24e546
ist	bv_doc_id__33_d24e548
ein	bv_doc_id__33_d24e550
Bundesstaat	bv_doc_id__33_d24e552
<g/>
.	
2	bv_doc_id__33_d24e562
<g/>
)	
Der	bv_doc_id__33_d24e567
Bundesstaat	bv_doc_id__33_d24e569
wird	bv_doc_id__33_d24e571
gebildet	bv_doc_id__33_d24e573
aus	bv_doc_id__33_d24e576
den	bv_doc_id__33_d24e578
selbständigen	bv_doc_id__33_d24e580
Ländern	bv_doc_id__33_d24e582
<g/>
:	
Kärnten	bv_doc_id__33_d24e586
<g/>
,	
Niederösterreich	bv_doc_id__33_d24e591
<g/>
,	
Oberösterreich	bv_doc_id__33_d24e595
<g/>
,	
Salzburg	bv_doc_id__33_d24e599
<g/>
,	
Steiermark	bv_doc_id__33_d24e604
<g/>
,	
Tirol	bv_doc_id__33_d24e608
<g/>
,	
Vorarlberg	bv_doc_id__33_d24e612
uns	bv_doc_id__33_d24e615
Wien	bv_doc_id__33_d24e617
<g/>
.	
<g/>
(	
3	bv_doc_id__33_d24e628
<g/>
)	
Sobald	bv_doc_id__33_d24e633
des	bv_doc_id__33_d24e635
Burgenland	bv_doc_id__33_d24e637
seinen	bv_doc_id__33_d24e639
Willen	bv_doc_id__33_d24e642
dazu	bv_doc_id__33_d24e644
ausgedrückt	bv_doc_id__33_d24e646
hat	bv_doc_id__33_d24e648
<g/>
,	
wirdes	bv_doc_id__33_d24e652
alss	bv_doc_id__33_d24e655
selbständiges	bv_doc_id__33_d24e657
und	bv_doc_id__33_d24e659
gleichberechtigtes	bv_doc_id__33_d24e661
Land	bv_doc_id__33_d24e663
in	bv_doc_id__33_d24e665
den	bv_doc_id__33_d24e668
Bund	bv_doc_id__33_d24e670
aufgenommen	bv_doc_id__33_d24e672
<g/>
.	
Artikel	bv_doc_id__33_d24e682
3.	bv_doc_id__33_d24e684
<g/>
(	
1	bv_doc_id__33_d24e693
<g/>
)	
Das	bv_doc_id__33_d24e698
Bundesgebiet	bv_doc_id__33_d24e700
umfaßt	bv_doc_id__33_d24e702
die	bv_doc_id__33_d24e704
Gebiete	bv_doc_id__33_d24e707
der	bv_doc_id__33_d24e709
Bundesländer	bv_doc_id__33_d24e711
<g/>
.	
s	bv_doc_id__33_d24e715
steht	bv_doc_id__33_d24e717
unter	bv_doc_id__33_d24e720
dem	bv_doc_id__33_d24e722
Schube	bv_doc_id__33_d24e724
des	bv_doc_id__33_d24e726
Bundes	bv_doc_id__33_d24e728
<g/>
.	
<g/>
(	
2	bv_doc_id__33_d24e739
<g/>
)	
Eine	bv_doc_id__33_d24e744
Änderung	bv_doc_id__33_d24e746
des	bv_doc_id__33_d24e748
Bundesgebietes	bv_doc_id__33_d24e750
<g/>
,	
die	bv_doc_id__33_d24e755
zugleich	bv_doc_id__33_d24e757
eine	bv_doc_id__33_d24e759
Änderung	bv_doc_id__33_d24e761
eines	bv_doc_id__33_d24e763
Landesgebietes	bv_doc_id__33_d24e766
ist	bv_doc_id__33_d24e768
<g/>
,	
ebenso	bv_doc_id__33_d24e772
die	bv_doc_id__33_d24e774
Änderung	bv_doc_id__33_d24e776
einer	bv_doc_id__33_d24e779
Landesgrenze	bv_doc_id__33_d24e781
innerhalb	bv_doc_id__33_d24e783
des	bv_doc_id__33_d24e785
Bundesgebietes	bv_doc_id__33_d24e787
kann	bv_doc_id__33_d24e789
—	bv_doc_id__33_d24e792
abgesehen	bv_doc_id__33_d24e794
von	bv_doc_id__33_d24e796
Friedensverträgen	bv_doc_id__33_d24e798
durch	bv_doc_id__33_d24e800
übereinstimmende	bv_doc_id__33_d24e802
Berfassungs	bv_doc_id__33_d24e805
gesehe	bv_doc_id__33_d24e807
des	bv_doc_id__33_d24e809
Bundes	bv_doc_id__33_d24e811
und	bv_doc_id__33_d24e813
jenes	bv_doc_id__33_d24e815
Landes	bv_doc_id__33_d24e818
erfolgen	bv_doc_id__33_d24e820
<g/>
,	
dessen	bv_doc_id__33_d24e824
Gebiet	bv_doc_id__33_d24e826
eine	bv_doc_id__33_d24e828
Änderung	bv_doc_id__33_d24e831
erfährt	bv_doc_id__33_d24e833
<g/>
.	
Artikel	bv_doc_id__33_d24e837
3	bv_doc_id__33_d24e839
a	bv_doc_id__33_d24e841
<g/>
.	
<g/>
(	
1	bv_doc_id__33_d24e853
<g/>
)	
Das	bv_doc_id__33_d24e858
Bundesgebiet	bv_doc_id__33_d24e860
bildet	bv_doc_id__33_d24e862
ein	bv_doc_id__33_d24e864
einheitliches	bv_doc_id__33_d24e867
Währungs-	bv_doc_id__33_d24e869
<g/>
,	
Wirtschafts-	bv_doc_id__33_d24e873
und	bv_doc_id__33_d24e875
Zollgebiet	bv_doc_id__33_d24e877
<g/>
.	
3	bv_doc_id__33_d24e887
<g/>
)	
Innerhalb	bv_doc_id__33_d24e892
der	bv_doc_id__33_d24e894
Grenzen	bv_doc_id__33_d24e896
des	bv_doc_id__33_d24e898
Bundes	bv_doc_id__33_d24e901
dürfen	bv_doc_id__33_d24e903
