<doc id="bv_doc_id__35" attrs="word lemma type">
Entwurf	bv_doc_id__35_d26e385
einer	bv_doc_id__35_d26e387
provisorischen	bv_doc_id__35_d26e389
Verfassung	bv_doc_id__35_d26e391
Wir	bv_doc_id__35_d26e393
freigewählten	bv_doc_id__35_d26e396
Abgeordneten	bv_doc_id__35_d26e398
<g/>
,	
Kraft	bv_doc_id__35_d26e402
des	bv_doc_id__35_d26e404
allgemeinen	bv_doc_id__35_d26e406
und	bv_doc_id__35_d26e409
gleichen	bv_doc_id__35_d26e411
Stimmrechts	bv_doc_id__35_d26e413
zur	bv_doc_id__35_d26e415
Zeit	bv_doc_id__35_d26e417
allein	bv_doc_id__35_d26e419
befugten	bv_doc_id__35_d26e422
<g/>
[	
und	bv_doc_id__35_d26e426
gesetzlichen	bv_doc_id__35_d26e428
<g/>
]	
Vertreter	bv_doc_id__35_d26e432
des	bv_doc_id__35_d26e435
deutschen	bv_doc_id__35_d26e437
Volkes	bv_doc_id__35_d26e439
der	bv_doc_id__35_d26e441
bisherigen	bv_doc_id__35_d26e443
im	bv_doc_id__35_d26e445
Reichsrat	bv_doc_id__35_d26e448
vertretenen	bv_doc_id__35_d26e450
Königreiche	bv_doc_id__35_d26e455
und	bv_doc_id__35_d26e457
Länder	bv_doc_id__35_d26e459
der	bv_doc_id__35_d26e461
Oesterreichisch-Ungarischen	bv_doc_id__35_d26e463
Monarchie	bv_doc_id__35_d26e466
haben	bv_doc_id__35_d26e468
uns	bv_doc_id__35_d26e470
infolge	bv_doc_id__35_d26e472
der	bv_doc_id__35_d26e474
allgemeinen	bv_doc_id__35_d26e476
Auflösung	bv_doc_id__35_d26e479
des	bv_doc_id__35_d26e481
Staates	bv_doc_id__35_d26e483
und	bv_doc_id__35_d26e485
der	bv_doc_id__35_d26e487
völligen	bv_doc_id__35_d26e489
Unfruc	bv_doc_id__35_d26e492
Unhaltbarkeit	bv_doc_id__35_d26e494
seiner	bv_doc_id__35_d26e496
Verfassung	bv_doc_id__35_d26e498
<g/>
,	
und	bv_doc_id__35_d26e502
nachdem	bv_doc_id__35_d26e505
sich	bv_doc_id__35_d26e507
alle	bv_doc_id__35_d26e509
übrigen	bv_doc_id__35_d26e511
Nationen	bv_doc_id__35_d26e513
der	bv_doc_id__35_d26e515
Monarchie	bv_doc_id__35_d26e518
von	bv_doc_id__35_d26e520
dem	bv_doc_id__35_d26e522
bisherigen	bv_doc_id__35_d26e524
<g/>
,	
auf	bv_doc_id__35_d26e528
der	bv_doc_id__35_d26e531
pragmatischen	bv_doc_id__35_d26e533
Sanktion	bv_doc_id__35_d26e535
ruhenden	bv_doc_id__35_d26e537
Länderverbande	bv_doc_id__35_d26e539
