<doc id="bv_doc_id__36" attrs="word lemma type">
Protokoll	bv_doc_id__36_d27e271
der	bv_doc_id__36_d27e273
Sitzung	bv_doc_id__36_d27e275
des	bv_doc_id__36_d27e277
Subkomitees	bv_doc_id__36_d27e279
des	bv_doc_id__36_d27e282
Verfassungsausschusses	bv_doc_id__36_d27e284
vom	bv_doc_id__36_d27e286
11.	bv_doc_id__36_d27e288
Juli	bv_doc_id__36_d27e290
1920.	bv_doc_id__36_d27e292
Beginn	bv_doc_id__36_d27e295
<g/>
:	
9h30	bv_doc_id__36_d27e299
Vormittag	bv_doc_id__36_d27e301
<g/>
.	
Anwesend	bv_doc_id__36_d27e305
<g/>
:	
Dr	bv_doc_id__36_d27e310
<g/>
.	
Etto	bv_doc_id__36_d27e314
Bauer	bv_doc_id__36_d27e316
<g/>
,	
als	bv_doc_id__36_d27e321
Vorsitzender	bv_doc_id__36_d27e323
<g/>
,	
Dr	bv_doc_id__36_d27e327
<g/>
.	
Joaef	bv_doc_id__36_d27e331
Aigher	bv_doc_id__36_d27e334
<g/>
,	
Heinrich	bv_doc_id__36_d27e338
Cleasin	bv_doc_id__36_d27e340
<g/>
,	
als	bv_doc_id__36_d27e344
Berichterstatter	bv_doc_id__36_d27e347
tr	bv_doc_id__36_d27e349
<g/>
.	
Lobert	bv_doc_id__36_d27e353
Dannebere	bv_doc_id__36_d27e355
<g/>
.	
datuies	bv_doc_id__36_d27e360
il	bv_doc_id__36_d27e362
dersca	bv_doc_id__36_d27e364
<g/>
.	
Jodok	bv_doc_id__36_d27e368
Sinok	bv_doc_id__36_d27e370
<g/>
,	
dr	bv_doc_id__36_d27e375
<g/>
.	
Ignez	bv_doc_id__36_d27e379
Seipel	bv_doc_id__36_d27e381
Staxtssckretur	bv_doc_id__36_d27e383
trof	bv_doc_id__36_d27e386
<g/>
.	
Dr	bv_doc_id__36_d27e390
<g/>
.	
Michsel	bv_doc_id__36_d27e394
sayr	bv_doc_id__36_d27e396
<g/>
.	
Juroc	bv_doc_id__36_d27e401
<g/>
.	
or	bv_doc_id__36_d27e405
<g/>
.	
Naue	bv_doc_id__36_d27e409
&	bv_doc_id__36_d27e412
e	bv_doc_id__36_d27e414
l	bv_doc_id__36_d27e416
e	bv_doc_id__36_d27e418
en	bv_doc_id__36_d27e420
als	bv_doc_id__36_d27e422
Espale	bv_doc_id__36_d27e425
des	bv_doc_id__36_d27e427
Mrfeffie	bv_doc_id__36_d27e429
Von	bv_doc_id__36_d27e431
der	bv_doc_id__36_d27e433
Staatskanzlei	bv_doc_id__36_d27e435
<g/>
:	
Win-lat	bv_doc_id__36_d27e440
Fr	bv_doc_id__36_d27e442
<g/>
.	
Georg	bv_doc_id__36_d27e446
rocällch	bv_doc_id__36_d27e448
<g/>
.	
Sektionsrat	bv_doc_id__36_d27e453
Dr	bv_doc_id__36_d27e455
<g/>
.	
Egbert	bv_doc_id__36_d27e459
Kanaliaher	bv_doc_id__36_d27e461
oberfinanzrat	bv_doc_id__36_d27e464
dr	bv_doc_id__36_d27e466
<g/>
.	
Karl	bv_doc_id__36_d27e470
Uoser	bv_doc_id__36_d27e472
alo	bv_doc_id__36_d27e474
cartettine	bv_doc_id__36_d27e477
Kin	bv_doc_id__36_d27e479
<g/>
.	
Vizosekretär	bv_doc_id__36_d27e483
dr	bv_doc_id__36_d27e485
<g/>
.	
KurtFFisberge	bv_doc_id__36_d27e490
2	bv_doc_id__36_d27e494
der	bv_doc_id__36_d27e496
Voreitzende	bv_doc_id__36_d27e498
erteilt	bv_doc_id__36_d27e500
nach	bv_doc_id__36_d27e503
tröffnung	bv_doc_id__36_d27e505
der	bv_doc_id__36_d27e507
Sitzung	bv_doc_id__36_d27e509
den	bv_doc_id__36_d27e511
serichterstatter	bv_doc_id__36_d27e513
clesein	bv_doc_id__36_d27e516
das	bv_doc_id__36_d27e518
ort	bv_doc_id__36_d27e520
<g/>
,	
der	bv_doc_id__36_d27e524
ss	bv_doc_id__36_d27e526
als	bv_doc_id__36_d27e529
seine	bv_doc_id__36_d27e531
fufgabe	bv_doc_id__36_d27e533
darstellt	bv_doc_id__36_d27e535
<g/>
,	
aus	bv_doc_id__36_d27e539
den	bv_doc_id__36_d27e542
vorliegenden	bv_doc_id__36_d27e544
Entwürfen	bv_doc_id__36_d27e546
die	bv_doc_id__36_d27e548
Differenzpunkte	bv_doc_id__36_d27e550
derauszuschälen	bv_doc_id__36_d27e552
<g/>
,	
un	bv_doc_id__36_d27e557
eine	bv_doc_id__36_d27e559
Grundtage	bv_doc_id__36_d27e561
der	bv_doc_id__36_d27e563
Verhandlungen	bv_doc_id__36_d27e565
zu	bv_doc_id__36_d27e568
gewinnen	bv_doc_id__36_d27e570
<g/>
.	
Zur	bv_doc_id__36_d27e574
Beratung	bv_doc_id__36_d27e576
liegen	bv_doc_id__36_d27e578
vor	bv_doc_id__36_d27e581
<g/>
:	
2.)	bv_doc_id__36_d27e585
der	bv_doc_id__36_d27e587
Antwurf	bv_doc_id__36_d27e589
<g/>
,	
der	bv_doc_id__36_d27e594
gemeinsam	bv_doc_id__36_d27e596
vom	bv_doc_id__36_d27e598
