<doc id="bv_doc_id__5" attrs="word lemma type">
Erster	bv_doc_id__5_d38e564
Abschnitt	bv_doc_id__5_d38e566
Allgemeine	bv_doc_id__5_d38e571
Bestimmungen	bv_doc_id__5_d38e573
<g/>
.	
Art.	bv_doc_id__5_d38e582
1.	bv_doc_id__5_d38e584
Die	bv_doc_id__5_d38e589
Republik	bv_doc_id__5_d38e591
Oesterreich	bv_doc_id__5_d38e593
ist	bv_doc_id__5_d38e595
ein	bv_doc_id__5_d38e597
freier	bv_doc_id__5_d38e600
Bund	bv_doc_id__5_d38e602
der	bv_doc_id__5_d38e604
souveränen	bv_doc_id__5_d38e606
Länder	bv_doc_id__5_d38e608
<g/>
;	
Niederösterreich	bv_doc_id__5_d38e613
<g/>
,	
Oberösterrich	bv_doc_id__5_d38e617
<g/>
,	
Steiermark	bv_doc_id__5_d38e621
etz	bv_doc_id__5_d38e623
<g/>
.	
und	bv_doc_id__5_d38e628
der	bv_doc_id__5_d38e630
Bundeshauptstadt	bv_doc_id__5_d38e632
Wien	bv_doc_id__5_d38e634
<g/>
,	
die	bv_doc_id__5_d38e639
die	bv_doc_id__5_d38e641
Stellung	bv_doc_id__5_d38e643
eines	bv_doc_id__5_d38e645
selbständigen	bv_doc_id__5_d38e647
Landes	bv_doc_id__5_d38e649
hat	bv_doc_id__5_d38e652
<g/>
.	
Art.	bv_doc_id__5_d38e662
2.	bv_doc_id__5_d38e664
Oesterreich	bv_doc_id__5_d38e669
ist	bv_doc_id__5_d38e671
eine	bv_doc_id__5_d38e673
demokratische	bv_doc_id__5_d38e675
Republik	bv_doc_id__5_d38e677
<g/>
.	
Alle	bv_doc_id__5_d38e685
öffentlichen	bv_doc_id__5_d38e687
Gewalten	bv_doc_id__5_d38e689
werden	bv_doc_id__5_d38e691
vom	bv_doc_id__5_d38e693
Volke	bv_doc_id__5_d38e696
eingesetzt	bv_doc_id__5_d38e698
<g/>
.	
Art.	bv_doc_id__5_d38e709
3.	bv_doc_id__5_d38e711
Das	bv_doc_id__5_d38e716
Bundesgebiet	bv_doc_id__5_d38e718
umfaßt	bv_doc_id__5_d38e720
die	bv_doc_id__5_d38e722
Gebiete	bv_doc_id__5_d38e724
der	bv_doc_id__5_d38e727
Länder	bv_doc_id__5_d38e729
u	bv_doc_id__5_d38e731
<g/>
.	
zw	bv_doc_id__5_d38e735
<g/>
.	
im	bv_doc_id__5_d38e740
folgenden	bv_doc_id__5_d38e742
Umfange	bv_doc_id__5_d38e744
<g/>
:	
Niederösterreich	bv_doc_id__5_d38e751
<g/>
:	
<g/>
.	
<g/>
.	
<g/>
.	
<g/>
.	
Oberösterreich	bv_doc_id__5_d38e767
<g/>
:	
<g/>
.	
<g/>
.	
<g/>
.	
<g/>
.	
<g/>
.	
etz	bv_doc_id__5_d38e785
<g/>
.	
Wien	bv_doc_id__5_d38e793
<g/>
:	
<g/>
.	
<g/>
.	
<g/>
.	
<g/>
.	
Art.	bv_doc_id__5_d38e812
4.	bv_doc_id__5_d38e814
Eine	bv_doc_id__5_d38e819
Aenderung	bv_doc_id__5_d38e821
des	bv_doc_id__5_d38e823
Bundesgebietes	bv_doc_id__5_d38e825
<g/>
,	
die	bv_doc_id__5_d38e830
zugleich	bv_doc_id__5_d38e832
Aenderung	bv_doc_id__5_d38e834
eines	bv_doc_id__5_d38e836
Landesgebietes	bv_doc_id__5_d38e838
ist	bv_doc_id__5_d38e840
<g/>
,	
ebenso	bv_doc_id__5_d38e845
eine	bv_doc_id__5_d38e847
Aenderung	bv_doc_id__5_d38e849
der	bv_doc_id__5_d38e851
Landesgrenze	bv_doc_id__5_d38e853
innerhalb	bv_doc_id__5_d38e856
des	bv_doc_id__5_d38e858
Bundesgebietes	bv_doc_id__5_d38e860
<g/>
,	
kann	bv_doc_id__5_d38e864
nur	bv_doc_id__5_d38e866
durch	bv_doc_id__5_d38e869
übereinstimmende	bv_doc_id__5_d38e871
Verfassungsgesetze	bv_doc_id__5_d38e873
des	bv_doc_id__5_d38e875
Bundes	bv_doc_id__5_d38e877
und	bv_doc_id__5_d38e879
desjenigen	bv_doc_id__5_d38e882
Landes	bv_doc_id__5_d38e884
erfolgen	bv_doc_id__5_d38e886
<g/>
,	
dessen	bv_doc_id__5_d38e890
Gebiet	bv_doc_id__5_d38e892
eine	bv_doc_id__5_d38e895
Veränderung	bv_doc_id__5_d38e897
erfährt	bv_doc_id__5_d38e899
<g/>
.	
Art.	bv_doc_id__5_d38e911
5.	bv_doc_id__5_d38e913
Jeder	bv_doc_id__5_d38e918
Landesbürger	bv_doc_id__5_d38e920
ist	bv_doc_id__5_d38e922
Bürger	bv_doc_id__5_d38e924
des	bv_doc_id__5_d38e926
Bundes	bv_doc_id__5_d38e929
<g/>
.	
Die	bv_doc_id__5_d38e936
Landesbürgerschaft	bv_doc_id__5_d38e938
ist	bv_doc_id__5_d38e940
an	bv_doc_id__5_d38e942
die	bv_doc_id__5_d38e944
Heimatsberechtigung	bv_doc_id__5_d38e947
in	bv_doc_id__5_d38e949
der	bv_doc_id__5_d38e951
Gemeinde	bv_doc_id__5_d38e953
eines	bv_doc_id__5_d38e955
Landes	bv_doc_id__5_d38e957
gebunden	bv_doc_id__5_d38e960
<g/>
.	
Art.	bv_doc_id__5_d38e970
6.	bv_doc_id__5_d38e972
Jeder	bv_doc_id__5_d38e977
Bundesangehörige	bv_doc_id__5_d38e979
hat	bv_doc_id__5_d38e981
in	bv_doc_id__5_d38e983
jedem	bv_doc_id__5_d38e985
Lande	bv_doc_id__5_d38e988
des	bv_doc_id__5_d38e990
Bundes	bv_doc_id__5_d38e992
die	bv_doc_id__5_d38e994
gleichen	bv_doc_id__5_d38e996
Rechte	bv_doc_id__5_d38e998
und	bv_doc_id__5_d38e1001
Pflichten	bv_doc_id__5_d38e1003
wie	bv_doc_id__5_d38e1005
die	bv_doc_id__5_d38e1007
Angehörigen	bv_doc_id__5_d38e1009
des	bv_doc_id__5_d38e1011
Landes	bv_doc_id__5_d38e1014
selbst	bv_doc_id__5_d38e1016
<g/>
.	
Art.	bv_doc_id__5_d38e1026
7.	bv_doc_id__5_d38e1028
Die	bv_doc_id__5_d38e1033
souveränen	bv_doc_id__5_d38e1035
Länder	bv_doc_id__5_d38e1037
Niederösterreich	bv_doc_id__5_d38e1039
etz	bv_doc_id__5_d38e1041
<g/>
.	
übertragen	bv_doc_id__5_d38e1046
dem	bv_doc_id__5_d38e1048
Bunde	bv_doc_id__5_d38e1050
ihre	bv_doc_id__5_d38e1052
Staatsgewalt	bv_doc_id__5_d38e1054
in	bv_doc_id__5_d38e1057
den	bv_doc_id__5_d38e1059
folgenden	bv_doc_id__5_d38e1061
Angelegenheiten	bv_doc_id__5_d38e1063
<g/>
:	
1.)	bv_doc_id__5_d38e1071
die	bv_doc_id__5_d38e1076
auswärtigen	bv_doc_id__5_d38e1078
Angelegenheiten	bv_doc_id__5_d38e1080
<g/>
,	
2.)	bv_doc_id__5_d38e1087
das	bv_doc_id__5_d38e1092
Militärwesen	bv_doc_id__5_d38e1094
<g/>
,	
3.)	bv_doc_id__5_d38e1101
die	bv_doc_id__5_d38e1107
Sicherheitspolizei	bv_doc_id__5_d38e1109
in	bv_doc_id__5_d38e1111
Gemeinden	bv_doc_id__5_d38e1113
bis	bv_doc_id__5_d38e1115
zu	bv_doc_id__5_d38e1118
<g/>
.	
<g/>
.	
<g/>
.	
<g/>
.	
Einwohnern	bv_doc_id__5_d38e1128
<g/>
;	
die	bv_doc_id__5_d38e1133
Fremdenpolizei	bv_doc_id__5_d38e1135
und	bv_doc_id__5_d38e1137
das	bv_doc_id__5_d38e1139
Paßwesen	bv_doc_id__5_d38e1141
<g/>
,	
4.)	bv_doc_id__5_d38e1149
die	bv_doc_id__5_d38e1154
Bundesfinanzen	bv_doc_id__5_d38e1156
<g/>
,	
das	bv_doc_id__5_d38e1160
Monopolwesen	bv_doc_id__5_d38e1162
und	bv_doc_id__5_d38e1165
die	bv_doc_id__5_d38e1167
Verwaltung	bv_doc_id__5_d38e1169
der	bv_doc_id__5_d38e1171
Bundesbetriebe	bv_doc_id__5_d38e1173
<g/>
,	
5.)	bv_doc_id__5_d38e1180
das	bv_doc_id__5_d38e1185
Zollwesen	bv_doc_id__5_d38e1187
<g/>
,	
Geld-	bv_doc_id__5_d38e1191
und	bv_doc_id__5_d38e1193
Bankwesen	bv_doc_id__5_d38e1196
<g/>
;	
Handel	bv_doc_id__5_d38e1200
<g/>
,	
Gewerbe	bv_doc_id__5_d38e1204
<g/>
,	
Industrie	bv_doc_id__5_d38e1209
und	bv_doc_id__5_d38e1211
Verkehr	bv_doc_id__5_d38e1213
<g/>
,	
Bergwesen	bv_doc_id__5_d38e1217
<g/>
,	
6.)	bv_doc_id__5_d38e1224
Maß-	bv_doc_id__5_d38e1230
und	bv_doc_id__5_d38e1232
Gewichtwesen	bv_doc_id__5_d38e1234
<g/>
,	
Punzierungswesen	bv_doc_id__5_d38e1238
<g/>
,	
7.)	bv_doc_id__5_d38e1246
Zivil-	bv_doc_id__5_d38e1251
und	bv_doc_id__5_d38e1253
Strafjustiz	bv_doc_id__5_d38e1255
<g/>
,	
8.)	bv_doc_id__5_d38e1262
Kultus-	bv_doc_id__5_d38e1267
und	bv_doc_id__5_d38e1269
Hochschulwesen	bv_doc_id__5_d38e1271
<g/>
,	
9.)	bv_doc_id__5_d38e1278
Volksgesundheit	bv_doc_id__5_d38e1284
und	bv_doc_id__5_d38e1286
soziale	bv_doc_id__5_d38e1288
Für-	bv_doc_id__5_d38e1290
sorge	bv_doc_id__5_d38e1295
<g/>
.	
In	bv_doc_id__5_d38e1304
diesen	bv_doc_id__5_d38e1306
Angelegenheiten	bv_doc_id__5_d38e1308
steht	bv_doc_id__5_d38e1310
dem	bv_doc_id__5_d38e1312
Bunde	bv_doc_id__5_d38e1315
die	bv_doc_id__5_d38e1317
Gesetzgebung	bv_doc_id__5_d38e1319
und	bv_doc_id__5_d38e1321
Vollziehung	bv_doc_id__5_d38e1323
zu	bv_doc_id__5_d38e1325
<g/>
.	
Art.	bv_doc_id__5_d38e1336
8.	bv_doc_id__5_d38e1338
Der	bv_doc_id__5_d38e1343
Gesetzgebung	bv_doc_id__5_d38e1345
des	bv_doc_id__5_d38e1347
Bundes	bv_doc_id__5_d38e1349
ist	bv_doc_id__5_d38e1351
übertragen	bv_doc_id__5_d38e1354
<g/>
:	
1.)	bv_doc_id__5_d38e1362
die	bv_doc_id__5_d38e1367
Aenderung	bv_doc_id__5_d38e1369
der	bv_doc_id__5_d38e1371
Bundesverfassung	bv_doc_id__5_d38e1373
insbesondere	bv_doc_id__5_d38e1375
auch	bv_doc_id__5_d38e1378
hinsichtlich	bv_doc_id__5_d38e1380
des	bv_doc_id__5_d38e1382
Verhältnisses	bv_doc_id__5_d38e1384
der	bv_doc_id__5_d38e1386
souveränen	bv_doc_id__5_d38e1388
Länder	bv_doc_id__5_d38e1391
zum	bv_doc_id__5_d38e1393
Bunde	bv_doc_id__5_d38e1395
<g/>
,	
2.)	bv_doc_id__5_d38e1402
die	bv_doc_id__5_d38e1407
Bestimmung	bv_doc_id__5_d38e1409
der	bv_doc_id__5_d38e1411
Art	bv_doc_id__5_d38e1413
und	bv_doc_id__5_d38e1415
des	bv_doc_id__5_d38e1418
Umfanges	bv_doc_id__5_d38e1420
des	bv_doc_id__5_d38e1422
den	bv_doc_id__5_d38e1424
Ländern	bv_doc_id__5_d38e1426
zustehenden	bv_doc_id__5_d38e1428
Rechtes	bv_doc_id__5_d38e1431
<g/>
,	
öffentliche	bv_doc_id__5_d38e1435
Abgaben	bv_doc_id__5_d38e1437
auszuschreiben	bv_doc_id__5_d38e1439
und	bv_doc_id__5_d38e1441
einzuheben	bv_doc_id__5_d38e1444
<g/>
,	
3.)	bv_doc_id__5_d38e1451
die	bv_doc_id__5_d38e1457
Regelung	bv_doc_id__5_d38e1459
des	bv_doc_id__5_d38e1461
Staatsbürger-	bv_doc_id__5_d38e1463
und	bv_doc_id__5_d38e1465
Heimatsrechtes	bv_doc_id__5_d38e1468
<g/>
,	
4.)	bv_doc_id__5_d38e1475
die	bv_doc_id__5_d38e1480
Regelung	bv_doc_id__5_d38e1482
des	bv_doc_id__5_d38e1484
Bevölkerungswesens	bv_doc_id__5_d38e1486
<g/>
,	
5.)	bv_doc_id__5_d38e1493
die	bv_doc_id__5_d38e1498
Grundzüge	bv_doc_id__5_d38e1500
der	bv_doc_id__5_d38e1502
Verwaltungsorganisation	bv_doc_id__5_d38e1504
der	bv_doc_id__5_d38e1506
Länder	bv_doc_id__5_d38e1509
die	bv_doc_id__5_d38e1511
Regelung	bv_doc_id__5_d38e1513
des	bv_doc_id__5_d38e1515
Administrativverfahrens	bv_doc_id__5_d38e1517
und	bv_doc_id__5_d38e1519
die	bv_doc_id__5_d38e1522
Festsetzung	bv_doc_id__5_d38e1524
der	bv_doc_id__5_d38e1526
allgemeinen	bv_doc_id__5_d38e1528
Grundsätze	bv_doc_id__5_d38e1530
des	bv_doc_id__5_d38e1532
Verwaltungsstrafrechtes	bv_doc_id__5_d38e1535
<g/>
,	
6.)	bv_doc_id__5_d38e1542
die	bv_doc_id__5_d38e1548
Feststellung	bv_doc_id__5_d38e1550
der	bv_doc_id__5_d38e1552
Grundsätze	bv_doc_id__5_d38e1554
des	bv_doc_id__5_d38e1556
Wasser-	bv_doc_id__5_d38e1559
und	bv_doc_id__5_d38e1561
Elektrizitätsrechtes	bv_doc_id__5_d38e1563
<g/>
.	
Art.	bv_doc_id__5_d38e1576
9.	bv_doc_id__5_d38e1578
Bundesrecht	bv_doc_id__5_d38e1583
bricht	bv_doc_id__5_d38e1585
Landesrecht	bv_doc_id__5_d38e1587
<g/>
.	
Art.	bv_doc_id__5_d38e1597
10.	bv_doc_id__5_d38e1599
Soferne	bv_doc_id__5_d38e1604
eine	bv_doc_id__5_d38e1606
Angelegenheit	bv_doc_id__5_d38e1608
nicht	bv_doc_id__5_d38e1610
ausdrücklich	bv_doc_id__5_d38e1612
durch	bv_doc_id__5_d38e1615
die	bv_doc_id__5_d38e1617
Bundesverfassung	bv_doc_id__5_d38e1619
der	bv_doc_id__5_d38e1621
Gesetzgebung	bv_doc_id__5_d38e1623
oder	bv_doc_id__5_d38e1625
auch	bv_doc_id__5_d38e1628
der	bv_doc_id__5_d38e1630
Vollziehung	bv_doc_id__5_d38e1632
des	bv_doc_id__5_d38e1634
Bundes	bv_doc_id__5_d38e1636
übertragen	bv_doc_id__5_d38e1638
ist	bv_doc_id__5_d38e1641
<g/>
,	
verbleibt	bv_doc_id__5_d38e1645
sie	bv_doc_id__5_d38e1649
im	bv_doc_id__5_d38e1651
Wirkungsbreiche	bv_doc_id__5_d38e1654
der	bv_doc_id__5_d38e1656
souveränen	bv_doc_id__5_d38e1658
Länder	bv_doc_id__5_d38e1660
<g/>
.	
Zweiter	bv_doc_id__5_d38e1671
Abschnitt	bv_doc_id__5_d38e1673
<g/>
.	
Von	bv_doc_id__5_d38e1680
den	bv_doc_id__5_d38e1682
Organen	bv_doc_id__5_d38e1684
des	bv_doc_id__5_d38e1686
Bundes	bv_doc_id__5_d38e1688
<g/>
.	
A	bv_doc_id__5_d38e1698
<g/>
)	
der	bv_doc_id__5_d38e1702
Bundestag	bv_doc_id__5_d38e1704
<g/>
.	
Art.	bv_doc_id__5_d38e1713
11.	bv_doc_id__5_d38e1715
Der	bv_doc_id__5_d38e1720
vom	bv_doc_id__5_d38e1722
ganzen	bv_doc_id__5_d38e1724
Bundesvolk	bv_doc_id__5_d38e1726
gewählte	bv_doc_id__5_d38e1728
Bundestag	bv_doc_id__5_d38e1731
ist	bv_doc_id__5_d38e1733
das	bv_doc_id__5_d38e1735
höchste	bv_doc_id__5_d38e1737
Organ	bv_doc_id__5_d38e1739
des	bv_doc_id__5_d38e1741
Bundes	bv_doc_id__5_d38e1744
<g/>
.	
Art.	bv_doc_id__5_d38e1754
12.	bv_doc_id__5_d38e1756
Der	bv_doc_id__5_d38e1761
Sitz	bv_doc_id__5_d38e1763
des	bv_doc_id__5_d38e1765
Bundestages	bv_doc_id__5_d38e1767
ist	bv_doc_id__5_d38e1769
die	bv_doc_id__5_d38e1772
Bundeshauptstadt	bv_doc_id__5_d38e1774
Wien	bv_doc_id__5_d38e1776
<g/>
.	
Auf	bv_doc_id__5_d38e1783
die	bv_doc_id__5_d38e1785
Dauer	bv_doc_id__5_d38e1787
außerordentlicher	bv_doc_id__5_d38e1789
Verhältnisse	bv_doc_id__5_d38e1791
kann	bv_doc_id__5_d38e1794
der	bv_doc_id__5_d38e1796
Bundespräsident	bv_doc_id__5_d38e1798
auf	bv_doc_id__5_d38e1800
Antrag	bv_doc_id__5_d38e1802
der	bv_doc_id__5_d38e1804
Bundesregierung	bv_doc_id__5_d38e1807
den	bv_doc_id__5_d38e1809
Bundestag	bv_doc_id__5_d38e1811
in	bv_doc_id__5_d38e1813
einen	bv_doc_id__5_d38e1815
Ort	bv_doc_id__5_d38e1817
des	bv_doc_id__5_d38e1820
Bundesgebietes	bv_doc_id__5_d38e1822
berufen	bv_doc_id__5_d38e1824
<g/>
.	
Art.	bv_doc_id__5_d38e1834
13.	bv_doc_id__5_d38e1836
Dem	bv_doc_id__5_d38e1841
Bundestag	bv_doc_id__5_d38e1843
obliegt	bv_doc_id__5_d38e1845
die	bv_doc_id__5_d38e1847
Gesetzgebung	bv_doc_id__5_d38e1849
des	bv_doc_id__5_d38e1852
Bundes	bv_doc_id__5_d38e1854
<g/>
.	
Der	bv_doc_id__5_d38e1861
Bundestag	bv_doc_id__5_d38e1863
allein	bv_doc_id__5_d38e1865
hat	bv_doc_id__5_d38e1867
das	bv_doc_id__5_d38e1869
Recht	bv_doc_id__5_d38e1872
Krieg	bv_doc_id__5_d38e1874
zu	bv_doc_id__5_d38e1876
erklären	bv_doc_id__5_d38e1878
<g/>
.	
Alle	bv_doc_id__5_d38e1882
Staatsverträge	bv_doc_id__5_d38e1885
bedürfen	bv_doc_id__5_d38e1887
der	bv_doc_id__5_d38e1889
Genehmigung	bv_doc_id__5_d38e1891
durch	bv_doc_id__5_d38e1893
den	bv_doc_id__5_d38e1895
Bundestag	bv_doc_id__5_d38e1898
<g/>
.	
Nur	bv_doc_id__5_d38e1902
Verwaltungsverträge	bv_doc_id__5_d38e1904
geringerer	bv_doc_id__5_d38e1906
Bedeutung	bv_doc_id__5_d38e1908
<g/>
(	
Regierungsübereinkommen	bv_doc_id__5_d38e1913
<g/>
)	
hat	bv_doc_id__5_d38e1917
die	bv_doc_id__5_d38e1919
Bundesregierung	bv_doc_id__5_d38e1921
zu	bv_doc_id__5_d38e1924
genehmigen	bv_doc_id__5_d38e1926
<g/>
.	
Art.	bv_doc_id__5_d38e1936
14.	bv_doc_id__5_d38e1938
Dem	bv_doc_id__5_d38e1943
Bundestag	bv_doc_id__5_d38e1945
obliegt	bv_doc_id__5_d38e1947
die	bv_doc_id__5_d38e1949
jährliche	bv_doc_id__5_d38e1951
Bewilligung	bv_doc_id__5_d38e1954
des	bv_doc_id__5_d38e1956
Bundesbudgets	bv_doc_id__5_d38e1958
<g/>
,	
die	bv_doc_id__5_d38e1962
Aufnahme	bv_doc_id__5_d38e1964
und	bv_doc_id__5_d38e1967
Konvertierung	bv_doc_id__5_d38e1969
von	bv_doc_id__5_d38e1971
Bundesanleihen	bv_doc_id__5_d38e1973
und	bv_doc_id__5_d38e1975
die	bv_doc_id__5_d38e1977
Erteilung	bv_doc_id__5_d38e1980
des	bv_doc_id__5_d38e1982
Absolutoriums	bv_doc_id__5_d38e1984
an	bv_doc_id__5_d38e1986
die	bv_doc_id__5_d38e1988
Bundesregierung	bv_doc_id__5_d38e1990
auf	bv_doc_id__5_d38e1995
Grund	bv_doc_id__5_d38e1997
des	bv_doc_id__5_d38e1999
geprüften	bv_doc_id__5_d38e2001
und	bv_doc_id__5_d38e2003
gebilligten	bv_doc_id__5_d38e2006
Bundesrechnungsabschlusses	bv_doc_id__5_d38e2008
<g/>
.	
Art.	bv_doc_id__5_d38e2019
15.	bv_doc_id__5_d38e2021
Zum	bv_doc_id__5_d38e2026
Bundestag	bv_doc_id__5_d38e2028
werden	bv_doc_id__5_d38e2030
in	bv_doc_id__5_d38e2032
dem	bv_doc_id__5_d38e2034
gesamten	bv_doc_id__5_d38e2037
Bundesgebiet	bv_doc_id__5_d38e2039
<g/>
.	
<g/>
.	
<g/>
.	
<g/>
.	
<g/>
.	
<g/>
.	
<g/>
.	
Abgeordnete	bv_doc_id__5_d38e2056
auf	bv_doc_id__5_d38e2058
Grund	bv_doc_id__5_d38e2060
des	bv_doc_id__5_d38e2063
gleichen	bv_doc_id__5_d38e2065
<g/>
,	
direkten	bv_doc_id__5_d38e2069
persönlichen	bv_doc_id__5_d38e2071
und	bv_doc_id__5_d38e2073
geheimen	bv_doc_id__5_d38e2076
Wahlrechtes	bv_doc_id__5_d38e2078
aller	bv_doc_id__5_d38e2080
Bundesbürger	bv_doc_id__5_d38e2082
ohne	bv_doc_id__5_d38e2084
Unterschied	bv_doc_id__5_d38e2086
des	bv_doc_id__5_d38e2089
Geschlechtes	bv_doc_id__5_d38e2091
<g/>
,	
die	bv_doc_id__5_d38e2095
vor	bv_doc_id__5_d38e2097
dem	bv_doc_id__5_d38e2099
1.	bv_doc_id__5_d38e2102
Jänner	bv_doc_id__5_d38e2104
d	bv_doc_id__5_d38e2106
<g/>
.	
J	bv_doc_id__5_d38e2110
<g/>
.,	
in	bv_doc_id__5_d38e2115
welchem	bv_doc_id__5_d38e2117
die	bv_doc_id__5_d38e2119
Wahl	bv_doc_id__5_d38e2121
stattfindet	bv_doc_id__5_d38e2123
das	bv_doc_id__5_d38e2125
20.	bv_doc_id__5_d38e2128
Lebensjahr	bv_doc_id__5_d38e2130
überschritten	bv_doc_id__5_d38e2132
haben	bv_doc_id__5_d38e2134
<g/>
,	
nach	bv_doc_id__5_d38e2138
dem	bv_doc_id__5_d38e2141
System	bv_doc_id__5_d38e2143
der	bv_doc_id__5_d38e2145
Verhältniswahl	bv_doc_id__5_d38e2147
gewählt	bv_doc_id__5_d38e2149
<g/>
.	
Wählbar	bv_doc_id__5_d38e2156
ist	bv_doc_id__5_d38e2158
ohne	bv_doc_id__5_d38e2160
Unterschied	bv_doc_id__5_d38e2162
des	bv_doc_id__5_d38e2164
Geschlechtes	bv_doc_id__5_d38e2167
jeder	bv_doc_id__5_d38e2169
wahlberechtigte	bv_doc_id__5_d38e2171
Bundesbürger	bv_doc_id__5_d38e2173
<g/>
,	
der	bv_doc_id__5_d38e2177
vor	bv_doc_id__5_d38e2180
dem	bv_doc_id__5_d38e2182
1.	bv_doc_id__5_d38e2184
