<doc id="bv_doc_id__26" attrs="word lemma type">
Als	bv_doc_id__26_d16e515
Manuskript	bv_doc_id__26_d16e517
gedruckt	bv_doc_id__26_d16e519
<g/>
.	
Vertraulich	bv_doc_id__26_d16e523
<g/>
.	
Das	bv_doc_id__26_d16e533
Ergebnis	bv_doc_id__26_d16e535
der	bv_doc_id__26_d16e537
Vereinbarungen	bv_doc_id__26_d16e539
über	bv_doc_id__26_d16e541
die	bv_doc_id__26_d16e544
österreichische	bv_doc_id__26_d16e546
Bundesverfassung	bv_doc_id__26_d16e548
<g/>
.	
Vorbemerkungen	bv_doc_id__26_d16e560
<g/>
.	
Die	bv_doc_id__26_d16e565
provisorische	bv_doc_id__26_d16e567
Verfassung	bv_doc_id__26_d16e569
der	bv_doc_id__26_d16e572
Republik	bv_doc_id__26_d16e574
hat	bv_doc_id__26_d16e576
der	bv_doc_id__26_d16e578
konstituierenden	bv_doc_id__26_d16e580
Nationalversammlung	bv_doc_id__26_d16e582
eine	bv_doc_id__26_d16e585
Lebensdauer	bv_doc_id__26_d16e587
von	bv_doc_id__26_d16e589
zwei	bv_doc_id__26_d16e591
Jahren	bv_doc_id__26_d16e593
gesetzt	bv_doc_id__26_d16e595
<g/>
.	
Diese	bv_doc_id__26_d16e600
hätte	bv_doc_id__26_d16e602
sicherlich	bv_doc_id__26_d16e604
ausgereicht	bv_doc_id__26_d16e606
<g/>
,	
wenn	bv_doc_id__26_d16e611
nicht	bv_doc_id__26_d16e613
die	bv_doc_id__26_d16e615
Friedensverhandlungen	bv_doc_id__26_d16e617
von	bv_doc_id__26_d16e619
Saint	bv_doc_id__26_d16e621
Germain	bv_doc_id__26_d16e624
unerwartet	bv_doc_id__26_d16e626
eine	bv_doc_id__26_d16e628
so	bv_doc_id__26_d16e630
ungebührlich	bv_doc_id__26_d16e632
lange	bv_doc_id__26_d16e634
Zeit	bv_doc_id__26_d16e637
<g/>
(	
von	bv_doc_id__26_d16e641
Ende	bv_doc_id__26_d16e643
Mai	bv_doc_id__26_d16e645
bis	bv_doc_id__26_d16e647
Mitte	bv_doc_id__26_d16e650
September	bv_doc_id__26_d16e652
1919	bv_doc_id__26_d16e654
<g/>
)	
beansprucht	bv_doc_id__26_d16e658
und	bv_doc_id__26_d16e660
das	bv_doc_id__26_d16e663
Inkrafttreten	bv_doc_id__26_d16e665
des	bv_doc_id__26_d16e667
Friedensvertrages	bv_doc_id__26_d16e669
bis	bv_doc_id__26_d16e671
zur	bv_doc_id__26_d16e673
Stunde	bv_doc_id__26_d16e676
verzögert	bv_doc_id__26_d16e678
hätten	bv_doc_id__26_d16e680
<g/>
.	
Österreich	bv_doc_id__26_d16e684
ist	bv_doc_id__26_d16e686
heute	bv_doc_id__26_d16e689
noch	bv_doc_id__26_d16e691
ein	bv_doc_id__26_d16e693
Staatswesen	bv_doc_id__26_d16e695
mit	bv_doc_id__26_d16e697
unfertigem	bv_doc_id__26_d16e699
Gebiet	bv_doc_id__26_d16e702
und	bv_doc_id__26_d16e704
ungewisser	bv_doc_id__26_d16e706
Staatsbürger	bv_doc_id__26_d16e708
schaft	bv_doc_id__26_d16e710
<g/>
.	
Die	bv_doc_id__26_d16e715
Einverleibung	bv_doc_id__26_d16e717
von	bv_doc_id__26_d16e719
Deutschwestungarn	bv_doc_id__26_d16e721
abzuwarten	bv_doc_id__26_d16e723
<g/>
,	
geboten	bv_doc_id__26_d16e728
begreifliche	bv_doc_id__26_d16e730
Rücksichten	bv_doc_id__26_d16e732
und	bv_doc_id__26_d16e734
die	bv_doc_id__26_d16e736
Unsicherheit	bv_doc_id__26_d16e738
in	bv_doc_id__26_d16e741
der	bv_doc_id__26_d16e743
entscheidenden	bv_doc_id__26_d16e745
Staatsfrage	bv_doc_id__26_d16e747
<g/>
,	
in	bv_doc_id__26_d16e751
Sachen	bv_doc_id__26_d16e754
des	bv_doc_id__26_d16e756
Anschlusses	bv_doc_id__26_d16e758
an	bv_doc_id__26_d16e760
Deutschland	bv_doc_id__26_d16e762
<g/>
,	
der	bv_doc_id__26_d16e767
eine	bv_doc_id__26_d16e769
andere	bv_doc_id__26_d16e771
Verfassung	bv_doc_id__26_d16e773
voraussetzt	bv_doc_id__26_d16e775
als	bv_doc_id__26_d16e777
die	bv_doc_id__26_d16e780
volle	bv_doc_id__26_d16e782
Selbständigkeit	bv_doc_id__26_d16e784
<g/>
,	
nahm	bv_doc_id__26_d16e788
den	bv_doc_id__26_d16e790
Vorarbeiten	bv_doc_id__26_d16e793
die	bv_doc_id__26_d16e795
einheitliche	bv_doc_id__26_d16e797
und	bv_doc_id__26_d16e799
feste	bv_doc_id__26_d16e801
Richtung	bv_doc_id__26_d16e803
<g/>
.	
So	bv_doc_id__26_d16e808
kommt	bv_doc_id__26_d16e810
es	bv_doc_id__26_d16e812
<g/>
,	
daß	bv_doc_id__26_d16e816
die	bv_doc_id__26_d16e819
Nationalversammlung	bv_doc_id__26_d16e821
erst	bv_doc_id__26_d16e823
acht	bv_doc_id__26_d16e825
Monate	bv_doc_id__26_d16e827
vor	bv_doc_id__26_d16e829
ihrem	bv_doc_id__26_d16e832
gesetzlichen	bv_doc_id__26_d16e834
Ende	bv_doc_id__26_d16e836
zur	bv_doc_id__26_d16e838
Verfassungsarbeit	bv_doc_id__26_d16e840
gelangt	bv_doc_id__26_d16e842
<g/>
,	
und	bv_doc_id__26_d16e847
dies	bv_doc_id__26_d16e849
<g/>
,	
ohne	bv_doc_id__26_d16e853
daß	bv_doc_id__26_d16e855
die	bv_doc_id__26_d16e858
eben	bv_doc_id__26_d16e860
erwähnten	bv_doc_id__26_d16e862
Voraussetzungen	bv_doc_id__26_d16e864
ihrer	bv_doc_id__26_d16e866
Gedeihlichkeit	bv_doc_id__26_d16e868
verbürgt	bv_doc_id__26_d16e871
sind	bv_doc_id__26_d16e873
<g/>
.	
Die	bv_doc_id__26_d16e877
Staatskanzlei	bv_doc_id__26_d16e879
hat	bv_doc_id__26_d16e881
allerdings	bv_doc_id__26_d16e884
in	bv_doc_id__26_d16e886
dieser	bv_doc_id__26_d16e888
langen	bv_doc_id__26_d16e890
Zeit	bv_doc_id__26_d16e892
nicht	bv_doc_id__26_d16e894
müssig	bv_doc_id__26_d16e897
zugewartet	bv_doc_id__26_d16e899
<g/>
.	
Schon	bv_doc_id__26_d16e903
vor	bv_doc_id__26_d16e905
seiner	bv_doc_id__26_d16e907
Abreise	bv_doc_id__26_d16e910
nach	bv_doc_id__26_d16e912
Saint	bv_doc_id__26_d16e914
Germain	bv_doc_id__26_d16e916
hat	bv_doc_id__26_d16e918
der	bv_doc_id__26_d16e920
Staatskanzler	bv_doc_id__26_d16e923
in	bv_doc_id__26_d16e925
seinem	bv_doc_id__26_d16e927
Amte	bv_doc_id__26_d16e929
die	bv_doc_id__26_d16e931
beiden	bv_doc_id__26_d16e933
Abteilungen	bv_doc_id__26_d16e936
des	bv_doc_id__26_d16e938
Verfangsreform-	bv_doc_id__26_d16e940
und	bv_doc_id__26_d16e942
des	bv_doc_id__26_d16e944
Verwaltungsreformdienstes	bv_doc_id__26_d16e946
eingerichtet	bv_doc_id__26_d16e949
und	bv_doc_id__26_d16e951
beide	bv_doc_id__26_d16e953
Dienste	bv_doc_id__26_d16e955
