<doc id="bv_doc_id__2" attrs="word lemma type">
Erster	bv_doc_id__2_d10e502
Abschnitt	bv_doc_id__2_d10e504
<g/>
.	
Allgemeine	bv_doc_id__2_d10e511
Bestimmungen	bv_doc_id__2_d10e513
<g/>
.	
Art.	bv_doc_id__2_d10e522
1.	bv_doc_id__2_d10e524
Die	bv_doc_id__2_d10e529
Republik	bv_doc_id__2_d10e531
Oesterreich	bv_doc_id__2_d10e533
ist	bv_doc_id__2_d10e535
ein	bv_doc_id__2_d10e537
freier	bv_doc_id__2_d10e540
Bund	bv_doc_id__2_d10e542
der	bv_doc_id__2_d10e544
selbständigen	bv_doc_id__2_d10e546
Länder	bv_doc_id__2_d10e548
<g/>
;	
Niederösterreich	bv_doc_id__2_d10e553
<g/>
,	
Oberösterreich	bv_doc_id__2_d10e557
<g/>
,	
Steiermark	bv_doc_id__2_d10e561
etz	bv_doc_id__2_d10e563
<g/>
.	
und	bv_doc_id__2_d10e568
der	bv_doc_id__2_d10e570
Bundeshaupstadt	bv_doc_id__2_d10e572
Wien	bv_doc_id__2_d10e574
<g/>
,	
die	bv_doc_id__2_d10e579
die	bv_doc_id__2_d10e581
Stellung	bv_doc_id__2_d10e583
eines	bv_doc_id__2_d10e585
selbständigen	bv_doc_id__2_d10e587
Landes	bv_doc_id__2_d10e589
hat	bv_doc_id__2_d10e592
<g/>
.	
Art.	bv_doc_id__2_d10e602
2.	bv_doc_id__2_d10e604
Oesterreich	bv_doc_id__2_d10e609
ist	bv_doc_id__2_d10e611
eine	bv_doc_id__2_d10e613
demokratische	bv_doc_id__2_d10e615
Republik	bv_doc_id__2_d10e617
<g/>
.	
Alle	bv_doc_id__2_d10e625
öffentlichen	bv_doc_id__2_d10e627
Gewalten	bv_doc_id__2_d10e629
werden	bv_doc_id__2_d10e631
vom	bv_doc_id__2_d10e633
Volke	bv_doc_id__2_d10e636
eingesetzt	bv_doc_id__2_d10e638
<g/>
.	
Art.	bv_doc_id__2_d10e649
3.	bv_doc_id__2_d10e651
Das	bv_doc_id__2_d10e656
Bundesgebiet	bv_doc_id__2_d10e658
umfasst	bv_doc_id__2_d10e660
die	bv_doc_id__2_d10e662
