<doc id="bv_doc_id__43" attrs="word lemma type">
Protokoll	bv_doc_id__43_d32e281
der	bv_doc_id__43_d32e283
8.	bv_doc_id__43_d32e285
Sitzung	bv_doc_id__43_d32e287
des	bv_doc_id__43_d32e289
Unterausschusses	bv_doc_id__43_d32e292
des	bv_doc_id__43_d32e294
Verfassungsausschusses	bv_doc_id__43_d32e296
von	bv_doc_id__43_d32e298
21.1111.1520.	bv_doc_id__43_d32e300
Beginn	bv_doc_id__43_d32e302
10	bv_doc_id__43_d32e305
Uhr	bv_doc_id__43_d32e307
30	bv_doc_id__43_d32e309
Vormittag	bv_doc_id__43_d32e311
<g/>
.	
Anresend	bv_doc_id__43_d32e315
<g/>
:	
Dr	bv_doc_id__43_d32e320
<g/>
.	
Odtt	bv_doc_id__43_d32e324
Bauer	bv_doc_id__43_d32e326
als	bv_doc_id__43_d32e328
Vorsitzender	bv_doc_id__43_d32e331
Dr	bv_doc_id__43_d32e333
<g/>
.	
Jesef	bv_doc_id__43_d32e337
Aigner	bv_doc_id__43_d32e339
Heinrich	bv_doc_id__43_d32e341
Clessin	bv_doc_id__43_d32e344
Jedck	bv_doc_id__43_d32e346
Fink	bv_doc_id__43_d32e348
Karl	bv_doc_id__43_d32e350
Leuthner	bv_doc_id__43_d32e352
Dr	bv_doc_id__43_d32e354
<g/>
.	
Ienaz	bv_doc_id__43_d32e359
Seipel	bv_doc_id__43_d32e361
Staatssekretär	bv_doc_id__43_d32e363
Dr	bv_doc_id__43_d32e365
<g/>
.	
Michsel	bv_doc_id__43_d32e370
Keyr	bv_doc_id__43_d32e372
vom	bv_doc_id__43_d32e374
der	bv_doc_id__43_d32e376
Stastskenzler	bv_doc_id__43_d32e378
<g/>
:	
Sekticasret	bv_doc_id__43_d32e383
Dr	bv_doc_id__43_d32e385
<g/>
.	
Auge	bv_doc_id__43_d32e389
Jàchl	bv_doc_id__43_d32e391
Sektionsrat	bv_doc_id__43_d32e393
Dr	bv_doc_id__43_d32e396
<g/>
.	
Eebert	bv_doc_id__43_d32e400
Menalicher	bv_doc_id__43_d32e402
Ministeriolvizesekretär	bv_doc_id__43_d32e404
Dr	bv_doc_id__43_d32e406
<g/>
.	
Kurt	bv_doc_id__43_d32e411
Frieberger	bv_doc_id__43_d32e413
als	bv_doc_id__43_d32e415
Schriftfuhrer	bv_doc_id__43_d32e417
Prof	bv_doc_id__43_d32e419
<g/>
.	
