<doc id="bv_doc_id__63" attrs="word lemma type">
991	bv_doc_id__63_d47e245
der	bv_doc_id__63_d47e247
Beilagen	bv_doc_id__63_d47e249
<g/>
.	
—	bv_doc_id__63_d47e253
Konstituierende	bv_doc_id__63_d47e256
Nationalversammlung	bv_doc_id__63_d47e258
<g/>
.	
1	bv_doc_id__63_d47e262
Bericht	bv_doc_id__63_d47e264
des	bv_doc_id__63_d47e266
Verfassungsausschusses	bv_doc_id__63_d47e269
über	bv_doc_id__63_d47e271
den	bv_doc_id__63_d47e273
Entwurf	bv_doc_id__63_d47e275
eines	bv_doc_id__63_d47e277
Gesetzes	bv_doc_id__63_d47e279
<g/>
,	
womit	bv_doc_id__63_d47e284
die	bv_doc_id__63_d47e286
Republik	bv_doc_id__63_d47e288
Österreich	bv_doc_id__63_d47e290
als	bv_doc_id__63_d47e292
Bundesstaat	bv_doc_id__63_d47e295
eingerichtet	bv_doc_id__63_d47e297
wird	bv_doc_id__63_d47e299
<g/>
(	
Bundes=Verfassungsgesetz	bv_doc_id__63_d47e303
<g/>
).	
Sozusagen	bv_doc_id__63_d47e308
in	bv_doc_id__63_d47e310
letzter	bv_doc_id__63_d47e312
Stunde	bv_doc_id__63_d47e314
unternimmt	bv_doc_id__63_d47e316
es	bv_doc_id__63_d47e318
die	bv_doc_id__63_d47e321
Nationalversammlung	bv_doc_id__63_d47e323
<g/>
,	
die	bv_doc_id__63_d47e327
als	bv_doc_id__63_d47e329
„Konstituierende	bv_doc_id__63_d47e331
gewählt	bv_doc_id__63_d47e334
wurde	bv_doc_id__63_d47e336
<g/>
,	
ihrer	bv_doc_id__63_d47e340
größten	bv_doc_id__63_d47e342
Aufgabe	bv_doc_id__63_d47e344
gerecht	bv_doc_id__63_d47e347
zu	bv_doc_id__63_d47e349
werden	bv_doc_id__63_d47e351
<g/>
.	
Schier	bv_doc_id__63_d47e355
unüberwindliche	bv_doc_id__63_d47e357
Schwierigkeiten	bv_doc_id__63_d47e360
haben	bv_doc_id__63_d47e362
sie	bv_doc_id__63_d47e364
gehindert	bv_doc_id__63_d47e366
<g/>
,	
früher	bv_doc_id__63_d47e370
in	bv_doc_id__63_d47e373
die	bv_doc_id__63_d47e375
Beratung	bv_doc_id__63_d47e377
der	bv_doc_id__63_d47e379
Verfassung	bv_doc_id__63_d47e381
<g/>
,	
die	bv_doc_id__63_d47e386
sie	bv_doc_id__63_d47e388
unserem	bv_doc_id__63_d47e390
Staate	bv_doc_id__63_d47e392
geben	bv_doc_id__63_d47e394
soll	bv_doc_id__63_d47e396
<g/>
,	
einzutreten	bv_doc_id__63_d47e401
<g/>
.	
Zuerst	bv_doc_id__63_d47e405
ließen	bv_doc_id__63_d47e407
uns	bv_doc_id__63_d47e409
die	bv_doc_id__63_d47e412
unerwartet	bv_doc_id__63_d47e414
lange	bv_doc_id__63_d47e416
sich	bv_doc_id__63_d47e418
hinziehenden	bv_doc_id__63_d47e420
Friedensverhandlungen	bv_doc_id__63_d47e422
über	bv_doc_id__63_d47e425
die	bv_doc_id__63_d47e427
Grenzen	bv_doc_id__63_d47e429
des	bv_doc_id__63_d47e431
neuen	bv_doc_id__63_d47e433
österreichischen	bv_doc_id__63_d47e435
Staates	bv_doc_id__63_d47e438
im	bv_doc_id__63_d47e440
Ungewissen	bv_doc_id__63_d47e442
<g/>
.	
Dann	bv_doc_id__63_d47e446
nahmen	bv_doc_id__63_d47e448
der	bv_doc_id__63_d47e451
Versuch	bv_doc_id__63_d47e453
<g/>
,	
die	bv_doc_id__63_d47e457
finanziellen	bv_doc_id__63_d47e459
Verhältnisse	bv_doc_id__63_d47e461
des	bv_doc_id__63_d47e464
Staates	bv_doc_id__63_d47e466
wenn	bv_doc_id__63_d47e468
auch	bv_doc_id__63_d47e470
vorläufig	bv_doc_id__63_d47e472
nur	bv_doc_id__63_d47e474
aufs	bv_doc_id__63_d47e477
notdürftigste	bv_doc_id__63_d47e479
zu	bv_doc_id__63_d47e481
regeln	bv_doc_id__63_d47e483
<g/>
,	
sowie	bv_doc_id__63_d47e487
die	bv_doc_id__63_d47e490
Notwendigkeit	bv_doc_id__63_d47e492
täglich	bv_doc_id__63_d47e494
neu	bv_doc_id__63_d47e496
auf	bv_doc_id__63_d47e498
die	bv_doc_id__63_d47e500
Versorgung	bv_doc_id__63_d47e503
der	bv_doc_id__63_d47e505
Bevölkerung	bv_doc_id__63_d47e507
mit	bv_doc_id__63_d47e509
Nahrungsmitteln	bv_doc_id__63_d47e511
<g/>
,	
der	bv_doc_id__63_d47e516
Volkswirtschaft	bv_doc_id__63_d47e518
mit	bv_doc_id__63_d47e520
Kohle	bv_doc_id__63_d47e522
und	bv_doc_id__63_d47e524
Rohstoffen	bv_doc_id__63_d47e526
bedacht	bv_doc_id__63_d47e529
zu	bv_doc_id__63_d47e531
sein	bv_doc_id__63_d47e533
<g/>
,	
und	bv_doc_id__63_d47e537
die	bv_doc_id__63_d47e539
infolge	bv_doc_id__63_d47e542
der	bv_doc_id__63_d47e544
wirtschaftlichen	bv_doc_id__63_d47e546
Not	bv_doc_id__63_d47e548
sich	bv_doc_id__63_d47e550
steigernden	bv_doc_id__63_d47e552
sozialen	bv_doc_id__63_d47e555
Schwierigkeiten	bv_doc_id__63_d47e557
fast	bv_doc_id__63_d47e559
die	bv_doc_id__63_d47e561
ganze	bv_doc_id__63_d47e563
Arbeitszeit	bv_doc_id__63_d47e565
der	bv_doc_id__63_d47e568
Regierung	bv_doc_id__63_d47e570
und	bv_doc_id__63_d47e572
der	bv_doc_id__63_d47e574
Nationalversammlung	bv_doc_id__63_d47e576
in	bv_doc_id__63_d47e578
Anspruch	bv_doc_id__63_d47e581
Hemmender	bv_doc_id__63_d47e583
jedoch	bv_doc_id__63_d47e585
als	bv_doc_id__63_d47e587
die	bv_doc_id__63_d47e589
genannten	bv_doc_id__63_d47e591
äußeren	bv_doc_id__63_d47e594
Schwierigkeiten	bv_doc_id__63_d47e596
wirkten	bv_doc_id__63_d47e598
die	bv_doc_id__63_d47e600
tiefgehenden	bv_doc_id__63_d47e602
Meinungsverschiedenheiten	bv_doc_id__63_d47e604
über	bv_doc_id__63_d47e607
den	bv_doc_id__63_d47e609
Grundcharakter	bv_doc_id__63_d47e611
und	bv_doc_id__63_d47e613
die	bv_doc_id__63_d47e615
Einzelheiten	bv_doc_id__63_d47e617
der	bv_doc_id__63_d47e620
Verfassung	bv_doc_id__63_d47e622
<g/>
,	
die	bv_doc_id__63_d47e626
zwischen	bv_doc_id__63_d47e628
den	bv_doc_id__63_d47e630
Parteien	bv_doc_id__63_d47e633
der	bv_doc_id__63_d47e635
Nationalversammlung	bv_doc_id__63_d47e637
zutage	bv_doc_id__63_d47e639
traten	bv_doc_id__63_d47e641
<g/>
,	
noch	bv_doc_id__63_d47e646
mehr	bv_doc_id__63_d47e648
aber	bv_doc_id__63_d47e650
die	bv_doc_id__63_d47e652
Interessengegensätze	bv_doc_id__63_d47e654
zwischen	bv_doc_id__63_d47e656
dem	bv_doc_id__63_d47e659
Gesamtstaate	bv_doc_id__63_d47e661
und	bv_doc_id__63_d47e663
seinen	bv_doc_id__63_d47e665
sich	bv_doc_id__63_d47e667
immer	bv_doc_id__63_d47e669
mehr	bv_doc_id__63_d47e672
als	bv_doc_id__63_d47e674
selbständige	bv_doc_id__63_d47e676
Staaten	bv_doc_id__63_d47e678
fühlenden	bv_doc_id__63_d47e680
Gliedern	bv_doc_id__63_d47e682
<g/>
,	
den	bv_doc_id__63_d47e687
Ländern	bv_doc_id__63_d47e689
<g/>
.	
Diese	bv_doc_id__63_d47e693
Gegensätze	bv_doc_id__63_d47e695
zeigten	bv_doc_id__63_d47e698
sich	bv_doc_id__63_d47e700
übrigens	bv_doc_id__63_d47e702
schon	bv_doc_id__63_d47e704
vom	bv_doc_id__63_d47e706
Zeitpunkt	bv_doc_id__63_d47e708
des	bv_doc_id__63_d47e711
Entstehens	bv_doc_id__63_d47e713
unseres	bv_doc_id__63_d47e715
Staatswesens	bv_doc_id__63_d47e717
an	bv_doc_id__63_d47e719
<g/>
.	
Das	bv_doc_id__63_d47e724
erste	bv_doc_id__63_d47e726
Verfassungsgesetz	bv_doc_id__63_d47e728
<g/>
,	
das	bv_doc_id__63_d47e732
die	bv_doc_id__63_d47e734
deutschen	bv_doc_id__63_d47e737
Abgeordneten	bv_doc_id__63_d47e739
des	bv_doc_id__63_d47e741
ehemaligen	bv_doc_id__63_d47e743
österreichischen	bv_doc_id__63_d47e745
