<doc id="bv_doc_id__27" document_title="Ministerial II Typoskript" created_not_before="1920-04-12" created_not_after="1920-04-12" creation_year="1920" state_of_correction="created" document_type="Typoskript" text_type="Verfassungsentwurf" dataset="Gesetzestexte & Entwürfe" attrs="word lemma type">
-	X	-													
1	X	1													
<g/>
-	
vorzulegen	VERB	vorlegen													Inf
Entwurf	NOUN	Entwurf	Nom				Masc		Sing						
12	NUM	12													
<g/>
/	
4	NUM	4													
zu	ADP	zu													
Erster	ADJ	Erster	Nom		Pos		Masc		Sing						
Abschnitt	NOUN	Abschnitt	Nom				Masc		Sing						
<g/>
.	
Allgemeine	ADJ	allgemein	Nom		Pos		Fem		Plur						
Bestimmungen	NOUN	Bestimmung	Nom				Fem		Plur						
Artikel	NOUN	Artikel	Nom				Masc		Sing						
1.	NUM	1.													
Die	DET	der	Nom	Def			Fem		Sing			Art			
Republik	NOUN	Republik	Nom				Fem		Sing						
Oesterreich	PROPN	Oesterreich	Nom				Neut		Sing						
ist	AUX	sein						Ind	Sing	3				Pres	Fin
ein	DET	ein	Nom	Ind			Masc		Sing			Art			
freier	ADJ	frei	Nom		Pos		Masc		Sing						
Bundesstaat	NOUN	Bundesstaat	Nom				Masc		Sing						
und	CCONJ	und													
wird	AUX	werden						Ind	Sing	3				Pres	Fin
gebildet	VERB	bilden													Part
von	ADP	von													
den	DET	der	Dat	Def			Neut		Plur			Art			
Ländern	NOUN	Land	Dat				Neut		Plur						
<g/>
:	
Burgenland	PROPN	Burgenland	Nom				Neut		Sing						
<g/>
,	
Kärnten	PROPN	Kärnten	Nom				Neut		Sing						
<g/>
,	
Niederöste	PROPN	Niederöste	Nom				Neut		Sing						
reich	PROPN	reich	Nom				Neut		Sing						
<g/>
,	
Oberösterreich	PROPN	Oberösterreich	Nom				Neut		Sing						
<g/>
,	
Salzburg	PROPN	Salzburg	Dat				Neut		Sing						
<g/>
,	
Steiermark	PROPN	Steiermark	Nom				Fem		Sing						
<g/>
,	
Tirol	PROPN	Tirol	Nom				Neut		Sing						
<g/>
,	
Vorarlberg	PROPN	Vorarlberg	Nom				Neut		Sing						
und	CCONJ	und													
der	DET	der	Dat	Def			Fem		Sing			Art			
Bundeshauptstadt	NOUN	Bundeshauptstadt	Dat				Fem		Sing						
Wien	PROPN	Wien	Nom				Neut		Sing						
<g/>
,	
