<doc id="bv_doc_id__24" attrs="word lemma type">
Bekanntlich	bv_doc_id__24_d15e246
hat	bv_doc_id__24_d15e248
der	bv_doc_id__24_d15e250
Unterausschuß	bv_doc_id__24_d15e252
des	bv_doc_id__24_d15e254
Verfassungsausschusses	bv_doc_id__24_d15e257
auf	bv_doc_id__24_d15e259
Grundlage	bv_doc_id__24_d15e261
der	bv_doc_id__24_d15e263
verschiedenen	bv_doc_id__24_d15e265
Entwürfe	bv_doc_id__24_d15e267
für	bv_doc_id__24_d15e270
ein	bv_doc_id__24_d15e272
Bundesverfassung	bv_doc_id__24_d15e274
die	bv_doc_id__24_d15e276
Materie	bv_doc_id__24_d15e278
mit	bv_doc_id__24_d15e280
Ausnahme	bv_doc_id__24_d15e283
des	bv_doc_id__24_d15e285
Abschnittes	bv_doc_id__24_d15e287
über	bv_doc_id__24_d15e289
die	bv_doc_id__24_d15e291
Grund-	bv_doc_id__24_d15e293
und	bv_doc_id__24_d15e296
Freiheitsrechte	bv_doc_id__24_d15e298
durchberaten	bv_doc_id__24_d15e300
<g/>
.	
Im	bv_doc_id__24_d15e304
nachfolgenden	bv_doc_id__24_d15e306
wird	bv_doc_id__24_d15e309
nunmehr	bv_doc_id__24_d15e311
der	bv_doc_id__24_d15e313
Entwurf	bv_doc_id__24_d15e315
<g/>
,	
wie	bv_doc_id__24_d15e319
er	bv_doc_id__24_d15e322
im	bv_doc_id__24_d15e324
Unterausschusse	bv_doc_id__24_d15e326
beschlossen	bv_doc_id__24_d15e328
wurde	bv_doc_id__24_d15e330
<g/>
,	
in	bv_doc_id__24_d15e335
seiner	bv_doc_id__24_d15e337
Gänze	bv_doc_id__24_d15e339
der	bv_doc_id__24_d15e341
Öffentlichkeit	bv_doc_id__24_d15e343
zu	bv_doc_id__24_d15e345
Kenntnis	bv_doc_id__24_d15e348
gebracht	bv_doc_id__24_d15e350
Bei	bv_doc_id__24_d15e352
der	bv_doc_id__24_d15e354
durch	bv_doc_id__24_d15e356
die	bv_doc_id__24_d15e358
Verhältnisse	bv_doc_id__24_d15e361
bedingten	bv_doc_id__24_d15e363
raschen	bv_doc_id__24_d15e365
Beratung	bv_doc_id__24_d15e367
war	bv_doc_id__24_d15e369
es	bv_doc_id__24_d15e371
