<doc id="bv_doc_id__21" attrs="word lemma type">
Fassung	bv_doc_id__21_d12e331
nach	bv_doc_id__21_d12e333
dem	bv_doc_id__21_d12e335
Stande	bv_doc_id__21_d12e337
der	bv_doc_id__21_d12e339
Beratungen	bv_doc_id__21_d12e342
am	bv_doc_id__21_d12e344
15.	bv_doc_id__21_d12e346
September	bv_doc_id__21_d12e348
1920.	bv_doc_id__21_d12e350
Entwurf	bv_doc_id__21_d12e355
eines	bv_doc_id__21_d12e357
Gesetzes	bv_doc_id__21_d12e359
<g/>
,	
womit	bv_doc_id__21_d12e366
die	bv_doc_id__21_d12e368
Republik	bv_doc_id__21_d12e370
Österreich	bv_doc_id__21_d12e372
als	bv_doc_id__21_d12e374
Bundesstaat	bv_doc_id__21_d12e377
eingerichtet	bv_doc_id__21_d12e379
wird	bv_doc_id__21_d12e381
<g/>
.	
<g/>
(	
Bundes-Verfassungsgesetz	bv_doc_id__21_d12e387
<g/>
.)	
Erstes	bv_doc_id__21_d12e397
Hauptstück	bv_doc_id__21_d12e399
<g/>
.	
Allgemeine	bv_doc_id__21_d12e406
Bestimmungen	bv_doc_id__21_d12e408
<g/>
.	
Artikel	bv_doc_id__21_d12e417
1	bv_doc_id__21_d12e419
<g/>
(	
1	bv_doc_id__21_d12e428
<g/>
)	
Österreich	bv_doc_id__21_d12e433
ist	bv_doc_id__21_d12e435
eine	bv_doc_id__21_d12e437
demokratische	bv_doc_id__21_d12e439
Republik	bv_doc_id__21_d12e442
<g/>
.	
<g/>
(	
2	bv_doc_id__21_d12e453
<g/>
)	
Alle	bv_doc_id__21_d12e458
öffentlichen	bv_doc_id__21_d12e460
Gewalten	bv_doc_id__21_d12e462
werden	bv_doc_id__21_d12e464
vom	bv_doc_id__21_d12e467
Volke	bv_doc_id__21_d12e469
eingesetzt	bv_doc_id__21_d12e471
und	bv_doc_id__21_d12e473
in	bv_doc_id__21_d12e475
seinem	bv_doc_id__21_d12e477
Namen	bv_doc_id__21_d12e480
ausgeübt	bv_doc_id__21_d12e482
<g/>
.	
Artikel	bv_doc_id__21_d12e492
2.	bv_doc_id__21_d12e494
<g/>
(	
1	bv_doc_id__21_d12e503
<g/>
)	
Österreich	bv_doc_id__21_d12e508
ist	bv_doc_id__21_d12e510
ein	bv_doc_id__21_d12e512
Bundesstaat	bv_doc_id__21_d12e514
<g/>
.	
<g/>
(	
2	bv_doc_id__21_d12e526
<g/>
)	
Der	bv_doc_id__21_d12e531
Bundesstaat	bv_doc_id__21_d12e533
wird	bv_doc_id__21_d12e535
gebildet	bv_doc_id__21_d12e537
aus	bv_doc_id__21_d12e540
den	bv_doc_id__21_d12e542
selbständigen	bv_doc_id__21_d12e544
Ländern	bv_doc_id__21_d12e546
<g/>
:	
Kärnten	bv_doc_id__21_d12e550
<g/>
,	
Niederösterreich	bv_doc_id__21_d12e555
<g/>
,	
Oberösterreich	bv_doc_id__21_d12e559
<g/>
,	
Salzburg	bv_doc_id__21_d12e563
<g/>
,	
Steiermark	bv_doc_id__21_d12e568
<g/>
,	
Tirol	bv_doc_id__21_d12e572
und	bv_doc_id__21_d12e574
Vorarlberg	bv_doc_id__21_d12e576
<g/>
,	
<g/>
(	
3	bv_doc_id__21_d12e588
<g/>
)	
Das	bv_doc_id__21_d12e593
Burgenland	bv_doc_id__21_d12e595
wird	bv_doc_id__21_d12e597
als	bv_doc_id__21_d12e599
selbständiges	bv_doc_id__21_d12e602
und	bv_doc_id__21_d12e604
gleichberechtigtes	bv_doc_id__21_d12e606
Land	bv_doc_id__21_d12e608
in	bv_doc_id__21_d12e610
den	bv_doc_id__21_d12e612
Bund	bv_doc_id__21_d12e615
aufgenommen	bv_doc_id__21_d12e617
<g/>
,	
sobald	bv_doc_id__21_d12e621
es	bv_doc_id__21_d12e623
seinen	bv_doc_id__21_d12e625
Willen	bv_doc_id__21_d12e628
dazu	bv_doc_id__21_d12e630
ausgedrückt	bv_doc_id__21_d12e632
hat	bv_doc_id__21_d12e634
<g/>
.	
Artikel	bv_doc_id__21_d12e644
3.	bv_doc_id__21_d12e646
<g/>
(	
1	bv_doc_id__21_d12e655
<g/>
)	
Das	bv_doc_id__21_d12e660
Bundesgebiet	bv_doc_id__21_d12e662
umfaßt	bv_doc_id__21_d12e664
die	bv_doc_id__21_d12e666
Gebiete	bv_doc_id__21_d12e669
der	bv_doc_id__21_d12e671
Bundesländer	bv_doc_id__21_d12e673
<g/>
.	
Es	bv_doc_id__21_d12e677
steht	bv_doc_id__21_d12e679
unter	bv_doc_id__21_d12e682
dem	bv_doc_id__21_d12e684
Schutze	bv_doc_id__21_d12e686
des	bv_doc_id__21_d12e688
Bundes	bv_doc_id__21_d12e690
<g/>
.	
<g/>
(	
2	bv_doc_id__21_d12e701
<g/>
)	
Eine	bv_doc_id__21_d12e706
Änderung	bv_doc_id__21_d12e708
des	bv_doc_id__21_d12e710
Bundesgebietes	bv_doc_id__21_d12e712
<g/>
,	
die	bv_doc_id__21_d12e717
zugleich	bv_doc_id__21_d12e719
Änderung	bv_doc_id__21_d12e721
eines	bv_doc_id__21_d12e723
Landesgebietes	bv_doc_id__21_d12e725
ist	bv_doc_id__21_d12e728
<g/>
,	
ebenso	bv_doc_id__21_d12e732
die	bv_doc_id__21_d12e734
Änderung	bv_doc_id__21_d12e736
einer	bv_doc_id__21_d12e738
Landesgrenze	bv_doc_id__21_d12e741
innerhalb	bv_doc_id__21_d12e743
des	bv_doc_id__21_d12e745
Bundesgebietes	bv_doc_id__21_d12e747
kann	bv_doc_id__21_d12e749
—	bv_doc_id__21_d12e751
abgesehen	bv_doc_id__21_d12e754
von	bv_doc_id__21_d12e756
Friedensverträgen	bv_doc_id__21_d12e758
—	bv_doc_id__21_d12e760
nur	bv_doc_id__21_d12e762
