<doc id="bv_doc_id__12" attrs="word lemma type">
991	bv_doc_id__12_d4e409
der	bv_doc_id__12_d4e411
Beilagen	bv_doc_id__12_d4e413
<g/>
.	
—	bv_doc_id__12_d4e417
Konstituierende	bv_doc_id__12_d4e420
Nationalversammlung	bv_doc_id__12_d4e422
<g/>
.	
1	bv_doc_id__12_d4e426
Antrag	bv_doc_id__12_d4e430
des	bv_doc_id__12_d4e432
Verfassungsausschusses	bv_doc_id__12_d4e434
<g/>
.	
Gesetz	bv_doc_id__12_d4e442
vom	bv_doc_id__12_d4e447
…	bv_doc_id__12_d4e449
<g/>
,	
womit	bv_doc_id__12_d4e453
die	bv_doc_id__12_d4e458
Republik	bv_doc_id__12_d4e460
Österreich	bv_doc_id__12_d4e462
als	bv_doc_id__12_d4e464
Bundesstaat	bv_doc_id__12_d4e466
eingerichtet	bv_doc_id__12_d4e469
wird	bv_doc_id__12_d4e471
<g/>
(	
Bundes	bv_doc_id__12_d4e475
Verfassungsgesetz	bv_doc_id__12_d4e477
<g/>
).	
Die	bv_doc_id__12_d4e487
Nationalversammlung	bv_doc_id__12_d4e489
hat	bv_doc_id__12_d4e491
beschlossen	bv_doc_id__12_d4e493
<g/>
:	
Erstes	bv_doc_id__12_d4e503
Hauptstück	bv_doc_id__12_d4e505
<g/>
.	
Allgemeine	bv_doc_id__12_d4e512
Bestimmungen	bv_doc_id__12_d4e514
<g/>
.	
Artikel	bv_doc_id__12_d4e523
1.	bv_doc_id__12_d4e525
Österreich	bv_doc_id__12_d4e530
ist	bv_doc_id__12_d4e532
eine	bv_doc_id__12_d4e534
demokratische	bv_doc_id__12_d4e536
Republik	bv_doc_id__12_d4e538
<g/>
.	
Ihr	bv_doc_id__12_d4e543
Recht	bv_doc_id__12_d4e545
geht	bv_doc_id__12_d4e547
vom	bv_doc_id__12_d4e549
Volk	bv_doc_id__12_d4e551
aus	bv_doc_id__12_d4e554
<g/>
.	
Artikel	bv_doc_id__12_d4e564
2.	bv_doc_id__12_d4e566
<g/>
(	
1	bv_doc_id__12_d4e575
<g/>
)	
Österreich	bv_doc_id__12_d4e580
ist	bv_doc_id__12_d4e582
ein	bv_doc_id__12_d4e584
Bundesstaat	bv_doc_id__12_d4e586
<g/>
.	
<g/>
(	
2	bv_doc_id__12_d4e598
<g/>
)	
Der	bv_doc_id__12_d4e603
Bundesstaat	bv_doc_id__12_d4e605
wird	bv_doc_id__12_d4e607
gebildet	bv_doc_id__12_d4e609
aus	bv_doc_id__12_d4e612
den	bv_doc_id__12_d4e614
selbständigen	bv_doc_id__12_d4e616
Ländern	bv_doc_id__12_d4e618
<g/>
:	
Kärnten	bv_doc_id__12_d4e622
<g/>
,	
Niederösterreich	bv_doc_id__12_d4e627
<g/>
(	
Niederösterreich-Land	bv_doc_id__12_d4e631
und	bv_doc_id__12_d4e633
Wien	bv_doc_id__12_d4e635
<g/>
),	
Oberösterreich	bv_doc_id__12_d4e640
<g/>
,	
Salzburg	bv_doc_id__12_d4e644
<g/>
,	
Steiermark	bv_doc_id__12_d4e648
<g/>
,	
Tirol	bv_doc_id__12_d4e653
und	bv_doc_id__12_d4e655
Vorarlberg	bv_doc_id__12_d4e657
<g/>
.	
<g/>
(	
3	bv_doc_id__12_d4e668
<g/>
)	
Das	bv_doc_id__12_d4e673
Burgenland	bv_doc_id__12_d4e675
wird	bv_doc_id__12_d4e677
als	bv_doc_id__12_d4e679
selbständiges	bv_doc_id__12_d4e682
und	bv_doc_id__12_d4e684
gleichberechtigtes	bv_doc_id__12_d4e686
Land	bv_doc_id__12_d4e688
in	bv_doc_id__12_d4e690
den	bv_doc_id__12_d4e692
Bund	bv_doc_id__12_d4e695
aufgenommen	bv_doc_id__12_d4e697
<g/>
,	
sobald	bv_doc_id__12_d4e701
es	bv_doc_id__12_d4e703
seinen	bv_doc_id__12_d4e705
Willen	bv_doc_id__12_d4e708
dazu	bv_doc_id__12_d4e710
ausgedrückt	bv_doc_id__12_d4e712
hat	bv_doc_id__12_d4e714
<g/>
.	
Artikel	bv_doc_id__12_d4e724
3.	bv_doc_id__12_d4e726
<g/>
(	
1	bv_doc_id__12_d4e735
<g/>
)	
Das	bv_doc_id__12_d4e740
Bundesgebiet	bv_doc_id__12_d4e742
umfaßt	bv_doc_id__12_d4e744
die	bv_doc_id__12_d4e746
Gebiete	bv_doc_id__12_d4e749
der	bv_doc_id__12_d4e751
Bundesländer	bv_doc_id__12_d4e753
<g/>
.	
<g/>
(	
2	bv_doc_id__12_d4e764
<g/>
)	
Eine	bv_doc_id__12_d4e769
Änderung	bv_doc_id__12_d4e771
des	bv_doc_id__12_d4e773
Bundesgebietes	bv_doc_id__12_d4e775
<g/>
,	
die	bv_doc_id__12_d4e780
zugleich	bv_doc_id__12_d4e782
Änderung	bv_doc_id__12_d4e784
eines	bv_doc_id__12_d4e786
Landesgebietes	bv_doc_id__12_d4e788
ist	bv_doc_id__12_d4e791
<g/>
,	
ebenso	bv_doc_id__12_d4e795
die	bv_doc_id__12_d4e797
Änderung	bv_doc_id__12_d4e799
einer	bv_doc_id__12_d4e801
Landesgrenze	bv_doc_id__12_d4e804
innerhalb	bv_doc_id__12_d4e806
des	bv_doc_id__12_d4e808
Bundesgebietes	bv_doc_id__12_d4e810
kann	bv_doc_id__12_d4e812
<g/>
-	
abgesehen	bv_doc_id__12_d4e817
von	bv_doc_id__12_d4e819
Friedens-	bv_doc_id__12_d4e821
verträgen	bv_doc_id__12_d4e825
<g/>
-	
nur	bv_doc_id__12_d4e830
durch	bv_doc_id__12_d4e832
übereinstimmende	bv_doc_id__12_d4e834
Verfassungsgesetze	bv_doc_id__12_d4e836
des	bv_doc_id__12_d4e838
Bundes	bv_doc_id__12_d4e840
und	bv_doc_id__12_d4e843
jenes	bv_doc_id__12_d4e845
Landes	bv_doc_id__12_d4e847
erfolgen	bv_doc_id__12_d4e849
<g/>
,	
dessen	bv_doc_id__12_d4e853
Gebiet	bv_doc_id__12_d4e856
eine	bv_doc_id__12_d4e858
Änderung	bv_doc_id__12_d4e860
erfährt	bv_doc_id__12_d4e862
<g/>
.	
<g/>
(	
3	bv_doc_id__12_d4e873
<g/>
)	
Die	bv_doc_id__12_d4e878
für	bv_doc_id__12_d4e880
Niederösterreich-Land	bv_doc_id__12_d4e882
und	bv_doc_id__12_d4e884
Wien	bv_doc_id__12_d4e887
geltenden	bv_doc_id__12_d4e889
Sonderbestimmungen	bv_doc_id__12_d4e891
enthält	bv_doc_id__12_d4e893
das	bv_doc_id__12_d4e895
vierte	bv_doc_id__12_d4e897
Hauptstück	bv_doc_id__12_d4e900
<g/>
.	
Artikel	bv_doc_id__12_d4e911
