<doc id="bv_doc_id__1" attrs="word lemma type">
Entwurf	bv_doc_id__1_d1e468
I	bv_doc_id__1_d1e470
Erster	bv_doc_id__1_d1e477
Abschnitt	bv_doc_id__1_d1e479
<g/>
.	
Allgemeine	bv_doc_id__1_d1e486
Bestimmungen	bv_doc_id__1_d1e488
<g/>
.	
Art.	bv_doc_id__1_d1e497
I	bv_doc_id__1_d1e499
<g/>
.	
Die	bv_doc_id__1_d1e506
Republik	bv_doc_id__1_d1e508
Deutschösterreich	bv_doc_id__1_d1e510
ist	bv_doc_id__1_d1e512
ein	bv_doc_id__1_d1e514
freier	bv_doc_id__1_d1e517
Bund	bv_doc_id__1_d1e519
der	bv_doc_id__1_d1e521
souveränen	bv_doc_id__1_d1e523
Länder	bv_doc_id__1_d1e525
<g/>
;	
Niederösterreich	bv_doc_id__1_d1e530
<g/>
,	
Oberösterreich	bv_doc_id__1_d1e534
<g/>
,	
Steiermark	bv_doc_id__1_d1e538
etz	bv_doc_id__1_d1e540
<g/>
.	
Art.	bv_doc_id__1_d1e551
II	bv_doc_id__1_d1e553
<g/>
.	
Das	bv_doc_id__1_d1e560
Bundesgebiet	bv_doc_id__1_d1e562
umfaßt	bv_doc_id__1_d1e564
die	bv_doc_id__1_d1e566
Gebiete	bv_doc_id__1_d1e568
der	bv_doc_id__1_d1e571
souveränen	bv_doc_id__1_d1e573
Länder	bv_doc_id__1_d1e575
u	bv_doc_id__1_d1e577
<g/>
.	
zw	bv_doc_id__1_d1e581
<g/>
.	
im	bv_doc_id__1_d1e586
folgenden	bv_doc_id__1_d1e588
Umfange	bv_doc_id__1_d1e590
<g/>
:	
Niederösterreich	bv_doc_id__1_d1e597
<g/>
:	
<g/>
.	
<g/>
.	
<g/>
.	
Oberösterreich	bv_doc_id__1_d1e608
<g/>
:	
<g/>
.	
<g/>
.	
<g/>
.	
etz	bv_doc_id__1_d1e618
<g/>
.	
Art.	bv_doc_id__1_d1e629
III	bv_doc_id__1_d1e631
<g/>
.	
Eine	bv_doc_id__1_d1e638
Aenderung	bv_doc_id__1_d1e640
des	bv_doc_id__1_d1e642
Bundesgebietes	bv_doc_id__1_d1e644
<g/>
,	
die	bv_doc_id__1_d1e649
zugleich	bv_doc_id__1_d1e651
Aenderung	bv_doc_id__1_d1e653
eines	bv_doc_id__1_d1e655
Landesgebietes	bv_doc_id__1_d1e657
ist	bv_doc_id__1_d1e659
<g/>
,	
ebenso	bv_doc_id__1_d1e664
eine	bv_doc_id__1_d1e666
Aenderung	bv_doc_id__1_d1e668
der	bv_doc_id__1_d1e670
Landesgrenze	bv_doc_id__1_d1e672
innerhalb	bv_doc_id__1_d1e675
des	bv_doc_id__1_d1e677
Bundesgebietes	bv_doc_id__1_d1e679
<g/>
,	
kann	bv_doc_id__1_d1e683
nur	bv_doc_id__1_d1e685
durch	bv_doc_id__1_d1e688
übereinstimmende	bv_doc_id__1_d1e690
Verfassungsgesetze	bv_doc_id__1_d1e692
