<doc id="bv_doc_id__4" attrs="word lemma type">
Erster	bv_doc_id__4_d29e427
Abschnitt	bv_doc_id__4_d29e429
Allgemeine	bv_doc_id__4_d29e434
Bestimmungen	bv_doc_id__4_d29e436
Art.	bv_doc_id__4_d29e443
I	bv_doc_id__4_d29e445
<g/>
.	
Die	bv_doc_id__4_d29e452
Republik	bv_doc_id__4_d29e454
Oesterreich	bv_doc_id__4_d29e456
ist	bv_doc_id__4_d29e458
ein	bv_doc_id__4_d29e460
freier	bv_doc_id__4_d29e463
Bund	bv_doc_id__4_d29e465
der	bv_doc_id__4_d29e467
souveränen	bv_doc_id__4_d29e469
Länder	bv_doc_id__4_d29e471
<g/>
;	
Niederösterreich	bv_doc_id__4_d29e476
<g/>
,	
Oberösterreich	bv_doc_id__4_d29e480
<g/>
,	
Steiermark	bv_doc_id__4_d29e484
etc	bv_doc_id__4_d29e486
<g/>
.	
Art.	bv_doc_id__4_d29e497
II	bv_doc_id__4_d29e499
<g/>
.	
Das	bv_doc_id__4_d29e506
Bundesgebiet	bv_doc_id__4_d29e508
umfasst	bv_doc_id__4_d29e510
die	bv_doc_id__4_d29e512
Gebiete	bv_doc_id__4_d29e514
der	bv_doc_id__4_d29e517
souveränen	bv_doc_id__4_d29e519
Länder	bv_doc_id__4_d29e521
u	bv_doc_id__4_d29e523
<g/>
.	
zw	bv_doc_id__4_d29e527
<g/>
.	
in	bv_doc_id__4_d29e532
folgendem	bv_doc_id__4_d29e534
Umfange	bv_doc_id__4_d29e536
<g/>
:	
Niederösterreich	bv_doc_id__4_d29e543
<g/>
:	
<g/>
.	
<g/>
.	
<g/>
.	
<g/>
.	
Oberösterreich	bv_doc_id__4_d29e559
<g/>
:	
<g/>
.	
<g/>
.	
<g/>
.	
etc	bv_doc_id__4_d29e572
<g/>
.	
Art.	bv_doc_id__4_d29e583
III	bv_doc_id__4_d29e585
<g/>
.	
Eine	bv_doc_id__4_d29e592
Aenderung	bv_doc_id__4_d29e594
des	bv_doc_id__4_d29e596
Bundesgebietes	bv_doc_id__4_d29e598
<g/>
,	
die	bv_doc_id__4_d29e603
zugleich	bv_doc_id__4_d29e605
Aenderung	bv_doc_id__4_d29e607
eines	bv_doc_id__4_d29e609
Landesgebietes	bv_doc_id__4_d29e611
ist	bv_doc_id__4_d29e613
<g/>
,	
ebenso	bv_doc_id__4_d29e618
eine	bv_doc_id__4_d29e620
Aenderung	bv_doc_id__4_d29e622
der	bv_doc_id__4_d29e624
Landesgrenze	bv_doc_id__4_d29e626
innerhalb	bv_doc_id__4_d29e629
des	bv_doc_id__4_d29e631
Bundesgebietes	bv_doc_id__4_d29e633
<g/>
,	
kann	bv_doc_id__4_d29e637
nur	bv_doc_id__4_d29e639
durch	bv_doc_id__4_d29e642
übereinstimmende	bv_doc_id__4_d29e644
Verfassungsgesetze	bv_doc_id__4_d29e646
des	bv_doc_id__4_d29e648
Bundes	bv_doc_id__4_d29e650
und	bv_doc_id__4_d29e652
desjenigen	bv_doc_id__4_d29e655
Landes	bv_doc_id__4_d29e657
erfolgen	bv_doc_id__4_d29e659
<g/>
,	
dessen	bv_doc_id__4_d29e663
Gebiet	bv_doc_id__4_d29e665
eine	bv_doc_id__4_d29e668
Veränderung	bv_doc_id__4_d29e670
erfährt	bv_doc_id__4_d29e672
<g/>
.	
Art.	bv_doc_id__4_d29e682
IV	bv_doc_id__4_d29e684
<g/>
.	
Jeder	bv_doc_id__4_d29e691
Landesbürger	bv_doc_id__4_d29e693
ist	bv_doc_id__4_d29e695
Bürger	bv_doc_id__4_d29e697
des	bv_doc_id__4_d29e699
Bundes	bv_doc_id__4_d29e702
<g/>
.	
Die	bv_doc_id__4_d29e709
Landesbürgerschaft	bv_doc_id__4_d29e711
ist	bv_doc_id__4_d29e713
an	bv_doc_id__4_d29e715
die	bv_doc_id__4_d29e717
Heimatberechtigung	bv_doc_id__4_d29e720
in	bv_doc_id__4_d29e722
der	bv_doc_id__4_d29e724
Gemeinde	bv_doc_id__4_d29e726
eines	bv_doc_id__4_d29e728
souveränen	bv_doc_id__4_d29e730
Landes	bv_doc_id__4_d29e733
gebunden	bv_doc_id__4_d29e735
<g/>
.	
Der	bv_doc_id__4_d29e742
Erwerb	bv_doc_id__4_d29e744
und	bv_doc_id__4_d29e746
Verlust	bv_doc_id__4_d29e748
der	bv_doc_id__4_d29e750
Bundesbürgerschaft	bv_doc_id__4_d29e753
wird	bv_doc_id__4_d29e755
durch	bv_doc_id__4_d29e757
ein	bv_doc_id__4_d29e759
Bundesgesetz	bv_doc_id__4_d29e761
geregelt	bv_doc_id__4_d29e763
<g/>
.	
Art.	bv_doc_id__4_d29e774
V	bv_doc_id__4_d29e776
<g/>
.	
Die	bv_doc_id__4_d29e783
souveränen	bv_doc_id__4_d29e785
Länder	bv_doc_id__4_d29e787
Niederrösterreich	bv_doc_id__4_d29e789
etc	bv_doc_id__4_d29e791
<g/>
.	
übertragen	bv_doc_id__4_d29e796
dem	bv_doc_id__4_d29e798
Bunde	bv_doc_id__4_d29e800
ihre	bv_doc_id__4_d29e802
Staatsgewalt	bv_doc_id__4_d29e804
in	bv_doc_id__4_d29e807
den	bv_doc_id__4_d29e809
folgenden	bv_doc_id__4_d29e811
Angelegenheiten	bv_doc_id__4_d29e813
<g/>
:	
1./	bv_doc_id__4_d29e824
die	bv_doc_id__4_d29e829
auswärtigen	bv_doc_id__4_d29e831
Angelegenheiten	bv_doc_id__4_d29e833
<g/>
,	
2./	bv_doc_id__4_d29e840
das	bv_doc_id__4_d29e845
Militärwesen	bv_doc_id__4_d29e847
<g/>
,	
3./	bv_doc_id__4_d29e854
die	bv_doc_id__4_d29e860
Sicherheitspolizei	bv_doc_id__4_d29e862
in	bv_doc_id__4_d29e864
Gemeinden	bv_doc_id__4_d29e866
bis	bv_doc_id__4_d29e868
zu	bv_doc_id__4_d29e871
<g/>
.	
<g/>
.	
<g/>
.	
Einwohnern	bv_doc_id__4_d29e879
<g/>
;	
die	bv_doc_id__4_d29e884
Fremdenpolizei	bv_doc_id__4_d29e886
und	bv_doc_id__4_d29e888
das	bv_doc_id__4_d29e890
Passwesen	bv_doc_id__4_d29e892
<g/>
,	
4./	bv_doc_id__4_d29e899
die	bv_doc_id__4_d29e904
Bundesfinanzen	bv_doc_id__4_d29e906
<g/>
,	
das	bv_doc_id__4_d29e910
Monopolwesen	bv_doc_id__4_d29e912
und	bv_doc_id__4_d29e915
die	bv_doc_id__4_d29e917
Verwaltung	bv_doc_id__4_d29e919
der	bv_doc_id__4_d29e921
Bundesbetriebe	bv_doc_id__4_d29e923
<g/>
,	
5./	bv_doc_id__4_d29e930
das	bv_doc_id__4_d29e935
Zollwesen	bv_doc_id__4_d29e937
<g/>
,	
Geld	bv_doc_id__4_d29e941
<g/>
-	
und	bv_doc_id__4_d29e946
B	bv_doc_id__4_d29e948
a	bv_doc_id__4_d29e954
nkwesen	bv_doc_id__4_d29e958
<g/>
;	
Handel	bv_doc_id__4_d29e962
<g/>
,	
Gewerbe	bv_doc_id__4_d29e967
<g/>
,	
Industrie	bv_doc_id__4_d29e971
und	bv_doc_id__4_d29e973
Verkehr	bv_doc_id__4_d29e975
<g/>
,	
Bergwesen	bv_doc_id__4_d29e980
<g/>
.	
6./	bv_doc_id__4_d29e987
Mass-	bv_doc_id__4_d29e993
und	bv_doc_id__4_d29e995
Gewichtswesen	bv_doc_id__4_d29e997
<g/>
,	
Punzierungs	bv_doc_id__4_d29e1001
wesen	bv_doc_id__4_d29e1004
<g/>
,	
7./	bv_doc_id__4_d29e1011
Zivil	bv_doc_id__4_d29e1016
<g/>
-	
und	bv_doc_id__4_d29e1020
Strafjustiz	bv_doc_id__4_d29e1022
<g/>
,	
8./	bv_doc_id__4_d29e1027
