<doc id="bv_doc_id__3" attrs="word lemma type">
Erster	bv_doc_id__3_d20e504
Abschnitt	bv_doc_id__3_d20e506
<g/>
.	
Allgemeine	bv_doc_id__3_d20e513
Bestimmungen	bv_doc_id__3_d20e515
<g/>
.	
Art.	bv_doc_id__3_d20e524
1.	bv_doc_id__3_d20e526
Die	bv_doc_id__3_d20e531
Republik	bv_doc_id__3_d20e533
Oesterreich	bv_doc_id__3_d20e535
ist	bv_doc_id__3_d20e537
ein	bv_doc_id__3_d20e539
freier	bv_doc_id__3_d20e542
Bund	bv_doc_id__3_d20e544
der	bv_doc_id__3_d20e546
selbständigen	bv_doc_id__3_d20e548
souveränen	bv_doc_id__3_d20e550
Länder	bv_doc_id__3_d20e552
<g/>
:	
Niederösterreich	bv_doc_id__3_d20e557
<g/>
,	
Oberösterreich	bv_doc_id__3_d20e561
<g/>
,	
Steiermark	bv_doc_id__3_d20e565
etz	bv_doc_id__3_d20e568
<g/>
.	
und	bv_doc_id__3_d20e572
der	bv_doc_id__3_d20e574
Bundeshauptstadt	bv_doc_id__3_d20e576
Wien	bv_doc_id__3_d20e578
<g/>
,	
die	bv_doc_id__3_d20e583
die	bv_doc_id__3_d20e585
Stellung	bv_doc_id__3_d20e587
eines	bv_doc_id__3_d20e589
selbständigen	bv_doc_id__3_d20e591
Landes	bv_doc_id__3_d20e594
hat	bv_doc_id__3_d20e596
<g/>
.	
Art.	bv_doc_id__3_d20e606
2.	bv_doc_id__3_d20e608
Oesterreich	bv_doc_id__3_d20e613
ist	bv_doc_id__3_d20e615
eine	bv_doc_id__3_d20e617
demokratische	bv_doc_id__3_d20e619
Republik	bv_doc_id__3_d20e621
<g/>
.	
Alle	bv_doc_id__3_d20e629
öffentlichen	bv_doc_id__3_d20e631
Gewalten	bv_doc_id__3_d20e633
werden	bv_doc_id__3_d20e635
vom	bv_doc_id__3_d20e637
Volke	bv_doc_id__3_d20e640
eingesetzt	bv_doc_id__3_d20e642
<g/>
.	
Art.	bv_doc_id__3_d20e652
3.	bv_doc_id__3_d20e654
Das	bv_doc_id__3_d20e659
Bundesgebiet	bv_doc_id__3_d20e661
umfasst	bv_doc_id__3_d20e663
die	bv_doc_id__3_d20e665
Gebiete	bv_doc_id__3_d20e667
der	bv_doc_id__3_d20e670
Länder	bv_doc_id__3_d20e672
im	bv_doc_id__3_d20e674
folgenden	bv_doc_id__3_d20e676
Umfange	bv_doc_id__3_d20e678
<g/>
:	
Niederösterreich	bv_doc_id__3_d20e683
<g/>
:	
<g/>
.	
<g/>
.	
<g/>
.	
<g/>
.	
Oberösterreich	bv_doc_id__3_d20e696
<g/>
:	
<g/>
.	
<g/>
.	
<g/>
.	
etz	bv_doc_id__3_d20e706
<g/>
.	
Wien	bv_doc_id__3_d20e711
<g/>
:	
Art.	bv_doc_id__3_d20e722
4.	bv_doc_id__3_d20e724
Das	bv_doc_id__3_d20e729
Bundesgebiet	bv_doc_id__3_d20e731
bildet	bv_doc_id__3_d20e733
ein	bv_doc_id__3_d20e735
einheitliches	bv_doc_id__3_d20e737
Zoll-	bv_doc_id__3_d20e740
und	bv_doc_id__3_d20e742
Handelsgebiet	bv_doc_id__3_d20e744
<g/>
.	
Innerhalb	bv_doc_id__3_d20e751
der	bv_doc_id__3_d20e753
Grenzen	bv_doc_id__3_d20e755
des	bv_doc_id__3_d20e757
Bundes	bv_doc_id__3_d20e759
dürfen	bv_doc_id__3_d20e762
keinerlei	bv_doc_id__3_d20e764
Zwischenzollinien	bv_doc_id__3_d20e766
errichtet	bv_doc_id__3_d20e768
werden	bv_doc_id__3_d20e770
<g/>
.	
Art.	bv_doc_id__3_d20e780
5.	bv_doc_id__3_d20e782
Eine	bv_doc_id__3_d20e787
Aenderung	bv_doc_id__3_d20e789
des	bv_doc_id__3_d20e791
Bundesgebietes	bv_doc_id__3_d20e793
<g/>
,	
die	bv_doc_id__3_d20e802
zugleich	bv_doc_id__3_d20e804
eine	bv_doc_id__3_d20e806
Aenderung	bv_doc_id__3_d20e808
eines	bv_doc_id__3_d20e810
Landesgebietes	bv_doc_id__3_d20e813
ist	bv_doc_id__3_d20e815
<g/>
,	
ebenso	bv_doc_id__3_d20e819
eine	bv_doc_id__3_d20e821
Aenderung	bv_doc_id__3_d20e823
der	bv_doc_id__3_d20e831
Landesgrenze	bv_doc_id__3_d20e833
innerhalb	bv_doc_id__3_d20e835
des	bv_doc_id__3_d20e837
Bundesgebietes	bv_doc_id__3_d20e839
<g/>
,	
kann	bv_doc_id__3_d20e844
nur	bv_doc_id__3_d20e846
durch	bv_doc_id__3_d20e848
übereinstimmende	bv_doc_id__3_d20e850
Verfassungsgesetze	bv_doc_id__3_d20e852
des	bv_doc_id__3_d20e855
Bundes	bv_doc_id__3_d20e857
und	bv_doc_id__3_d20e859
desjenigen	bv_doc_id__3_d20e861
Landes	bv_doc_id__3_d20e863
erfolgen	bv_doc_id__3_d20e865
<g/>
,	
dessen	bv_doc_id__3_d20e870
Gebiet	bv_doc_id__3_d20e872
eine	bv_doc_id__3_d20e874
Veränderung	bv_doc_id__3_d20e876
erfährt	bv_doc_id__3_d20e878
<g/>
.	
Art.	bv_doc_id__3_d20e889
6.	bv_doc_id__3_d20e891
Jeder	bv_doc_id__3_d20e896
Landesbürger	bv_doc_id__3_d20e898
ist	bv_doc_id__3_d20e900
Bürger	bv_doc_id__3_d20e902
des	bv_doc_id__3_d20e904
Bundes	bv_doc_id__3_d20e907
<g/>
.	
Die	bv_doc_id__3_d20e914
Landesbürgerschaft	bv_doc_id__3_d20e916
ist	bv_doc_id__3_d20e918
an	bv_doc_id__3_d20e920
die	bv_doc_id__3_d20e922
Heimatsberechtigung	bv_doc_id__3_d20e925
in	bv_doc_id__3_d20e927
der	bv_doc_id__3_d20e929
Gemeinde	bv_doc_id__3_d20e931
eines	bv_doc_id__3_d20e933
Landes	bv_doc_id__3_d20e935
gebunden	bv_doc_id__3_d20e938
<g/>
.	
Art.	bv_doc_id__3_d20e948
7.	bv_doc_id__3_d20e950
Jeder	bv_doc_id__3_d20e955
Bundesangehörige	bv_doc_id__3_d20e957
hat	bv_doc_id__3_d20e959
in	bv_doc_id__3_d20e961
jedem	bv_doc_id__3_d20e963
Lande	bv_doc_id__3_d20e966
des	bv_doc_id__3_d20e968
Bundes	bv_doc_id__3_d20e970
die	bv_doc_id__3_d20e972
gleichen	bv_doc_id__3_d20e974
Rechte	bv_doc_id__3_d20e976
und	bv_doc_id__3_d20e979
Pflichten	bv_doc_id__3_d20e981
wie	bv_doc_id__3_d20e983
die	bv_doc_id__3_d20e985
Angehörigen	bv_doc_id__3_d20e987
der	bv_doc_id__3_d20e989
Länder	bv_doc_id__3_d20e992
selbst	bv_doc_id__3_d20e994
<g/>
.	
Art.	bv_doc_id__3_d20e1004
8.	bv_doc_id__3_d20e1006
Die	bv_doc_id__3_d20e1011
selbständigen	bv_doc_id__3_d20e1013
Länder	bv_doc_id__3_d20e1015
Niederösterreich	bv_doc_id__3_d20e1017
etz	bv_doc_id__3_d20e1019
<g/>
.	
übertragen	bv_doc_id__3_d20e1024
dem	bv_doc_id__3_d20e1026
Bunde	bv_doc_id__3_d20e1028
ihre	bv_doc_id__3_d20e1030
Staatsgewalt	bv_doc_id__3_d20e1032
in	bv_doc_id__3_d20e1035
den	bv_doc_id__3_d20e1037
folgenden	bv_doc_id__3_d20e1039
Angelegenheiten	bv_doc_id__3_d20e1041
<g/>
:	
1	bv_doc_id__3_d20e1049
<g/>
)	
Die	bv_doc_id__3_d20e1056
auswärtigen	bv_doc_id__3_d20e1058
Angelegenheiten	bv_doc_id__3_d20e1060
<g/>
,	
2	bv_doc_id__3_d20e1067
<g/>
)	
das	bv_doc_id__3_d20e1074
Militärwesen	bv_doc_id__3_d20e1076
<g/>
,	
3	bv_doc_id__3_d20e1083
<g/>
)	
die	bv_doc_id__3_d20e1091
Sicherheitspolizei	bv_doc_id__3_d20e1093
in	bv_doc_id__3_d20e1095
Gemeinden	bv_doc_id__3_d20e1097
bis	bv_doc_id__3_d20e1099
zu	bv_doc_id__3_d20e1102
<g/>
.	
<g/>
.	
<g/>
.	
<g/>
.	
Einwohnern	bv_doc_id__3_d20e1112
<g/>
;	
die	bv_doc_id__3_d20e1117
Fremdenpolizei	bv_doc_id__3_d20e1119
und	bv_doc_id__3_d20e1121
das	bv_doc_id__3_d20e1123
Passwesen	bv_doc_id__3_d20e1125
<g/>
,	
4	bv_doc_id__3_d20e1133
<g/>
)	
die	bv_doc_id__3_d20e1140
Bundesfinanzen	bv_doc_id__3_d20e1142
<g/>
,	
das	bv_doc_id__3_d20e1146
Monopolwesen	bv_doc_id__3_d20e1148
und	bv_doc_id__3_d20e1151
die	bv_doc_id__3_d20e1153
Verwaltung	bv_doc_id__3_d20e1155
der	bv_doc_id__3_d20e1157
Bundesbetriebe	bv_doc_id__3_d20e1159
<g/>
,	
5	bv_doc_id__3_d20e1166
<g/>
)	
das	bv_doc_id__3_d20e1173
Zollwesen	bv_doc_id__3_d20e1175
<g/>
,	
Geld-	bv_doc_id__3_d20e1179
und	bv_doc_id__3_d20e1181
Bankwesen	bv_doc_id__3_d20e1184
<g/>
;	
Handel	bv_doc_id__3_d20e1188
<g/>
,	
Gewerbe	bv_doc_id__3_d20e1192
<g/>
,	
Industrie	bv_doc_id__3_d20e1197
und	bv_doc_id__3_d20e1199
Verkehr	bv_doc_id__3_d20e1203
<g/>
,	
Bergwesen	bv_doc_id__3_d20e1207
<g/>
,	
6	bv_doc_id__3_d20e1215
<g/>
)	
Mass-	bv_doc_id__3_d20e1223
und	bv_doc_id__3_d20e1225
Gewichtswesen	bv_doc_id__3_d20e1227
<g/>
,	
Punzierungswesen	bv_doc_id__3_d20e1231
<g/>
,	
7	bv_doc_id__3_d20e1239
<g/>
)	
Zivil-	bv_doc_id__3_d20e1246
und	bv_doc_id__3_d20e1248
Strafjustiz	bv_doc_id__3_d20e1250
<g/>
,	
8	bv_doc_id__3_d20e1257
<g/>
)	
Kultus	bv_doc_id__3_d20e1264
und	bv_doc_id__3_d20e1266
Hochschulwesen	bv_doc_id__3_d20e1268
<g/>
,	
9	bv_doc_id__3_d20e1275
<g/>
)	
Volksgesundheit	bv_doc_id__3_d20e1283
und	bv_doc_id__3_d20e1285
soziale	bv_doc_id__3_d20e1287
Fürsorge	bv_doc_id__3_d20e1289
<g/>
,	
In	bv_doc_id__3_d20e1298
diesen	bv_doc_id__3_d20e1300
Angelegenheiten	bv_doc_id__3_d20e1302
steht	bv_doc_id__3_d20e1304
dem	bv_doc_id__3_d20e1306
Bunde	bv_doc_id__3_d20e1309
die	bv_doc_id__3_d20e1311
Gesetzgebung	bv_doc_id__3_d20e1313
und	bv_doc_id__3_d20e1315
Vollziehung	bv_doc_id__3_d20e1317
zu	bv_doc_id__3_d20e1319
<g/>
.	
Art.	bv_doc_id__3_d20e1330
9.	bv_doc_id__3_d20e1332
Der	bv_doc_id__3_d20e1337
Gesetzgebung	bv_doc_id__3_d20e1339
des	bv_doc_id__3_d20e1341
Bundes	bv_doc_id__3_d20e1343
ist	bv_doc_id__3_d20e1345
übertragen	bv_doc_id__3_d20e1348
<g/>
:	
1	bv_doc_id__3_d20e1356
<g/>
)	
die	bv_doc_id__3_d20e1363
Aenderung	bv_doc_id__3_d20e1365
der	bv_doc_id__3_d20e1367
Bundesverfassung	bv_doc_id__3_d20e1369
<g/>
,	
insbesondere	bv_doc_id__3_d20e1374
auch	bv_doc_id__3_d20e1376
hinsichtlich	bv_doc_id__3_d20e1378
des	bv_doc_id__3_d20e1380
Verhältnisses	bv_doc_id__3_d20e1382
der	bv_doc_id__3_d20e1384
souveränen	bv_doc_id__3_d20e1387
Länder	bv_doc_id__3_d20e1389
zum	bv_doc_id__3_d20e1391
Bunde	bv_doc_id__3_d20e1393
<g/>
,	
2	bv_doc_id__3_d20e1400
<g/>
)	
die	bv_doc_id__3_d20e1407
Bestimmung	bv_doc_id__3_d20e1409
der	bv_doc_id__3_d20e1411
Art	bv_doc_id__3_d20e1413
und	bv_doc_id__3_d20e1415
des	bv_doc_id__3_d20e1418
Umfanges	bv_doc_id__3_d20e1420
des	bv_doc_id__3_d20e1422
den	bv_doc_id__3_d20e1424
Ländern	bv_doc_id__3_d20e1426
zustehenden	bv_doc_id__3_d20e1428
Rechtes	bv_doc_id__3_d20e1431
öffentliche	bv_doc_id__3_d20e1433
Abgaben	bv_doc_id__3_d20e1435
abzuschreiben	bv_doc_id__3_d20e1437
und	bv_doc_id__3_d20e1439
einzuheben	bv_doc_id__3_d20e1441
<g/>
,	
3	bv_doc_id__3_d20e1449
<g/>
)	
die	bv_doc_id__3_d20e1457
Regelung	bv_doc_id__3_d20e1459
des	bv_doc_id__3_d20e1461
Staatsbürger-	bv_doc_id__3_d20e1463
und	bv_doc_id__3_d20e1465
Heimatrechtes	bv_doc_id__3_d20e1468
<g/>
,	
4	bv_doc_id__3_d20e1475
<g/>
)	
die	bv_doc_id__3_d20e1482
Regelung	bv_doc_id__3_d20e1484
des	bv_doc_id__3_d20e1486
Bevölkerungswesens	bv_doc_id__3_d20e1488
<g/>
,	
5	bv_doc_id__3_d20e1495
<g/>
)	
die	bv_doc_id__3_d20e1502
Grundzüge	bv_doc_id__3_d20e1504
der	bv_doc_id__3_d20e1506
Verwaltungsorganisation	bv_doc_id__3_d20e1508
