<doc id="bv_doc_id__51" attrs="word lemma type">
Protokoll	bv_doc_id__51_d40e348
der	bv_doc_id__51_d40e350
15.	bv_doc_id__51_d40e352
Sitzung	bv_doc_id__51_d40e354
des	bv_doc_id__51_d40e356
Unterausschusses	bv_doc_id__51_d40e359
des	bv_doc_id__51_d40e361
Verfassungsausschusses	bv_doc_id__51_d40e363
vom	bv_doc_id__51_d40e365
25.	bv_doc_id__51_d40e367
September	bv_doc_id__51_d40e369
1520.	bv_doc_id__51_d40e372
Beginn	bv_doc_id__51_d40e374
10	bv_doc_id__51_d40e376
Uhr	bv_doc_id__51_d40e378
Vormittag	bv_doc_id__51_d40e380
<g/>
.	
Anwesend	bv_doc_id__51_d40e385
<g/>
:	
Dr	bv_doc_id__51_d40e389
<g/>
.	
Otto	bv_doc_id__51_d40e393
Bauerals	bv_doc_id__51_d40e395
Vorsitzender	bv_doc_id__51_d40e398
Präsident	bv_doc_id__51_d40e400
Karl	bv_doc_id__51_d40e402
seitz	bv_doc_id__51_d40e404
Dr	bv_doc_id__51_d40e406
<g/>
.	
JosefAigner	bv_doc_id__51_d40e411
Heinrich	bv_doc_id__51_d40e413
Ciesain	bv_doc_id__51_d40e415
Dr	bv_doc_id__51_d40e417
<g/>
.	
Rebert	bv_doc_id__51_d40e421
Danneberg	bv_doc_id__51_d40e424
Jedok	bv_doc_id__51_d40e426
FInk	bv_doc_id__51_d40e428
Leopold	bv_doc_id__51_d40e430
Runschak	bv_doc_id__51_d40e432
Karl	bv_doc_id__51_d40e434
Leuthner	bv_doc_id__51_d40e437
Prof	bv_doc_id__51_d40e439
<g/>
.	
Dr	bv_doc_id__51_d40e443
<g/>
.	
Ignaz	bv_doc_id__51_d40e447
Selpel	bv_doc_id__51_d40e450
Dr	bv_doc_id__51_d40e452
<g/>
.	
RichardWeiskirchner	bv_doc_id__51_d40e456
staatssekretär	bv_doc_id__51_d40e458
Prof	bv_doc_id__51_d40e460
<g/>
.	
Dr	bv_doc_id__51_d40e465
<g/>
.	
Michael	bv_doc_id__51_d40e469
Mavr	bv_doc_id__51_d40e471
Von	bv_doc_id__51_d40e473
der	bv_doc_id__51_d40e476
Staatskanziel	bv_doc_id__51_d40e478
<g/>
:	
Winisterfalrat	bv_doc_id__51_d40e482
Dr	bv_doc_id__51_d40e484
<g/>
.	
Geors	bv_doc_id__51_d40e489
Froehlich	bv_doc_id__51_d40e491
Sektionsrat	bv_doc_id__51_d40e493
Dr	bv_doc_id__51_d40e495
<g/>
.	
Egbert	bv_doc_id__51_d40e499
Mannlicher	bv_doc_id__51_d40e502
Kinisterialvizesekretär	bv_doc_id__51_d40e504
Dr	bv_doc_id__51_d40e506
<g/>
.	
Kurt	bv_doc_id__51_d40e510
Frleberger	bv_doc_id__51_d40e512
als	bv_doc_id__51_d40e515
Schriftfährer	bv_doc_id__51_d40e517
Prof	bv_doc_id__51_d40e519
<g/>
.	
Dr	bv_doc_id__51_d40e523
Hans	bv_doc_id__51_d40e525
keisen	bv_doc_id__51_d40e528
als	bv_doc_id__51_d40e530
Experte	bv_doc_id__51_d40e532
des	bv_doc_id__51_d40e534
Verfassungsaus	bv_doc_id__51_d40e536
schusses	bv_doc_id__51_d40e538
<g/>
.	
Ensoner	bv_doc_id__51_d40e543
241	bv_doc_id__51_d40e548
2	bv_doc_id__51_d40e552
zu	bv_doc_id__51_d40e557
Beginn	bv_doc_id__51_d40e559
der	bv_doc_id__51_d40e561
Sitzung	bv_doc_id__51_d40e563
gibt	bv_doc_id__51_d40e565
Prof	bv_doc_id__51_d40e568
<g/>
.	
Dr	bv_doc_id__51_d40e572
<g/>
.	
se	bv_doc_id__51_d40e576
i	bv_doc_id__51_d40e578
pei	bv_doc_id__51_d40e581
folgende	bv_doc_id__51_d40e583
Erklärung	bv_doc_id__51_d40e585
ab	bv_doc_id__51_d40e587
<g/>
,	
Ideren	bv_doc_id__51_d40e591
vertraudiche	bv_doc_id__51_d40e594
Behandlung	bv_doc_id__51_d40e596
er	bv_doc_id__51_d40e598
ersucht	bv_doc_id__51_d40e600
<g/>
,	
wobei	bv_doc_id__51_d40e604
Jedoch	bv_doc_id__51_d40e607
die	bv_doc_id__51_d40e609
Aufnahme	bv_doc_id__51_d40e611
in	bv_doc_id__51_d40e613
das	bv_doc_id__51_d40e615
Protokoll	bv_doc_id__51_d40e617
zugestanden	bv_doc_id__51_d40e620
ist	bv_doc_id__51_d40e622
<g/>
.	
Der	bv_doc_id__51_d40e626
christl	bv_doc_id__51_d40e628
sexParteivorstang	bv_doc_id__51_d40e630
hat	bv_doc_id__51_d40e633
in	bv_doc_id__51_d40e635
seiner	bv_doc_id__51_d40e637
gastrigen	bv_doc_id__51_d40e639
Sitzung	bv_doc_id__51_d40e641
Beschlüsse	bv_doc_id__51_d40e643
gefasst	bv_doc_id__51_d40e646
<g/>
,	
die	bv_doc_id__51_d40e650
dem	bv_doc_id__51_d40e652
Unterausschues	bv_doc_id__51_d40e654
ehestens	bv_doc_id__51_d40e656
zur	bv_doc_id__51_d40e659
Kenntnis	bv_doc_id__51_d40e661
gebracht	bv_doc_id__51_d40e663
werden	bv_doc_id__51_d40e665
müssten	bv_doc_id__51_d40e667
<g/>
.	
Sie	bv_doc_id__51_d40e672
betreffen	bv_doc_id__51_d40e674
die	bv_doc_id__51_d40e676
Kompstanz	bv_doc_id__51_d40e678
im	bv_doc_id__51_d40e680
Schulwesen	bv_doc_id__51_d40e682
und	bv_doc_id__51_d40e685
die	bv_doc_id__51_d40e687
Gebietsgemeinde	bv_doc_id__51_d40e689
<g/>
.	
Die	bv_doc_id__51_d40e693
christlichsozlale	bv_doc_id__51_d40e695
Partei	bv_doc_id__51_d40e698
kann	bv_doc_id__51_d40e700
einer	bv_doc_id__51_d40e702
Kompetenzabgrenzung	bv_doc_id__51_d40e704
<g/>
,	
die	bv_doc_id__51_d40e708
